dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
32428.0,0.0,10.0.0.4,0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,ICMP,2.0,72630.0,135529030.0,0.0,0.0,0.0,0.0
32428.0,3.0,10.0.0.2,10.0.0.4,2346.0,182430.0,70.0,734000000.0,7034000000.0,5.0,3294.0,4765.0,206320.0,245.0,0.0,TCP,4.0,1948.0,743.0,0.0,0.0,0.0,0.0
32793.0,2.0,10.0.0.3,10.0.0.9,3941.0,352777.0,127.0,917000000.0,128000000000.0,2.0,7297.0,1951.0,184314.0,243.0,1.0,UDP,4.0,2026.0,578.0,0.0,0.0,0.0,1.0
32428.0,4.0,10.0.0.7,10.0.0.5,2519.0,213825.0,76.0,604000000.0,77000000000.0,3.0,6331.0,8365.0,737900.0,259.0,1.0,TCP,2.0,1412.0,1021.0,0.0,0.0,0.0,0.0
32428.0,5.0,10.0.0.6,10.0.0.4,3496.0,299775.0,101.0,831000000.0,102000000000.0,2.0,7444.0,1748.0,164714.0,242.0,1.0,UDP,3.0,876.0,913.0,0.0,0.0,0.0,1.0
32428.0,2.0,10.0.0.3,10.0.0.8,1812.0,156520.0,59.0,601000000.0,601000000000.0,4.0,4139.0,4530.0,409920.0,243.0,0.0,TCP,1.0,1810.0,1341.0,0.0,0.0,0.0,0.0
32428.0,3.0,10.0.0.4,10.0.0.2,3245.0,273545.0,93.0,717000000.0,937000000000.0,3.0,6298.0,7668.0,681520.0,257.0,1.0,UDP,4.0,1059.0,731.0,0.0,0.0,0.0,1.0
32428.0,2.0,10.0.0.6,10.0.0.1,2056.0,174720.0,63.0,644000000.0,634000000000.0,3.0,4181.0,6790.0,611440.0,246.0,0.0,TCP,3.0,1486.0,1039.0,0.0,0.0,0.0,0.0
27077.0,4.0,10.0.0.9,10.0.0.7,3221.0,277545.0,94.0,735000000.0,945000000000.0,2.0,7244.0,1730.0,161930.0,242.0,1.0,UDP,2.0,843.0,1025.0,0.0,0.0,0.0,1.0
32428.0,5.0,10.0.0.1,10.0.0.6,2987.0,264785.0,90.0,724000000.0,904000000000.0,3.0,6252.0,7489.0,672745.0,257.0,1.0,UDP,3.0,1035.0,732.0,0.0,0.0,0.0,1.0
32428.0,2.0,10.0.0.8,10.0.0.3,1827.0,156960.0,60.0,609000000.0,6009000000.0,4.0,4139.0,4545.0,410200.0,243.0,0.0,TCP,1.0,1808.0,1343.0,0.0,0.0,0.0,0.0
32428.0,3.0,10.0.0.4,10.0.0.2,3258.0,274730.0,93.0,719000000.0,939000000000.0,3.0,6298.0,7672.0,681920.0,257.0,1.0,UDP,4.0,1060.0,732.0,0.0,0.0,0.0,1.0
4520.0,2.0,10.0.0.6,10.0.0.1,2069.0,176020.0,64.0,647000000.0,637000000000.0,3.0,4181.0,6805.0,612860.0,246.0,0.0,TCP,3.0,1487.0,1041.0,0.0,0.0,0.0,0.0
32428.0,4.0,10.0.0.9,10.0.0.7,3234.0,278730.0,94.0,737000000.0,947000000000.0,2.0,7244.0,1733.0,162290.0,242.0,1.0,UDP,2.0,844.0,1026.0,0.0,0.0,0.0,1.0
32428.0,5.0,10.0.0.1,10.0.0.6,3000.0,265970.0,90.0,726000000.0,906000000000.0,3.0,6252.0,7495.0,673350.0,257.0,1.0,UDP,3.0,1036.0,733.0,0.0,0.0,0.0,1.0
32428.0,2.0,10.0.0.8,10.0.0.3,1840.0,158260.0,60.0,612000000.0,6032000000.0,4.0,4139.0,4560.0,411640.0,243.0,0.0,TCP,1.0,1809.0,1345.0,0.0,0.0,0.0,0.0
38390.0,3.0,10.0.0.4,10.0.0.2,3271.0,275915.0,93.0,721000000.0,9411000000.0,3.0,6298.0,7678.0,682560.0,257.0,1.0,UDP,4.0,1061.0,734.0,0.0,0.0,0.0,1.0
32428.0,2.0,10.0.0.6,10.0.0.1,2082.0,177320.0,64.0,650000000.0,64100000000.0,3.0,4181.0,6820.0,614380.0,246.0,0.0,TCP,3.0,1488.0,1043.0,0.0,0.0,0.0,0.0
32428.0,4.0,10.0.0.9,10.0.0.7,3247.0,279915.0,94.0,739000000.0,949000000000.0,2.0,7244.0,1736.0,162650.0,242.0,1.0,UDP,2.0,845.0,1027.0,0.0,0.0,0.0,1.0
