dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2578,2,10.0.0.1,10.0.0.3,61577,65641082,136,398000000,136000000000,4,1814,13529,14421914,450,0,UDP,3,42000564,3488,3838,0.0,3838.0,0,0
3339,4,10.0.0.12,10.0.0.5,129026,137541716,282,780000000,283000000000,4,7916,13532,14425112,451,0,UDP,2,182883742,4388,6438,0.0,6438.0,0,0
11335,4,10.0.0.6,10.0.0.8,94814,101071724,210,786000000,211000000000,7,1790,13525,14417650,450,0,UDP,3,3413,3623,0,0.0,0.0,0,0
32463,1,10.0.0.2,10.0.0.3,7,686,8,518000000,8518000000,5,20,0,0,0,1,ICMP,3,15435,15547,1,1.0,2.0,0,0
6552,2,10.0.0.9,10.0.0.3,538,52724,551,561000000,552000000000,6,3421,29,2842,0,0,ICMP,4,406500239,135482179,822,1.0,823.0,0,0
41343,4,10.0.0.3,10.0.0.14,85499,4958942,288,229000000,288000000000,5,8050,8393,486794,279,1,TCP,3,160105637,15490471,366,262.0,628.0,1,1
3399,6,10.0.0.3,10.0.0.5,61347,63923574,197,299000000,197000000000,3,7916,9208,9594736,306,0,UDP,1,4378,1382,0,0.0,0.0,1,1
12205,3,10.0.0.4,10.0.0.8,134953,143859898,310,600000000,311000000000,3,2242,8845,9428770,294,0,UDP,1,4485,143926690,0,0.0,0.0,1,1
14525,3,10.0.0.12,10.0.0.1,16914,981012,46,858000000,46858000000,5,7385,8841,512778,294,1,TCP,2,4335,1332,0,0.0,0.0,1,1
10146,2,10.0.0.10,10.0.0.7,82158,85608636,263,397000000,263000000000,3,1931,9245,9633290,308,0,UDP,3,262354351,4020,2566,0.0,2566.0,1,1
39745,1,10.0.0.14,10.0.0.6,25345,29255499,91,841000000,911000000000,4,7404,6809,7175832,282,0,UDP,2,4368,3910,0,0.0,0.0,0,0
25986,5,10.0.0.9,10.0.0.5,71684,76470674,214,821000000,214000000000,3,7404,7404,7558322,283,1,TCP,4,4337,1442,0,0.0,0.0,1,1
45685,7,10.0.0.10,10.0.0.3,20862,22258550,144,920000000,144000000000,5,1814,1814,1844954,450,0,UDP,3,4365,1442,0,0.0,0.0,0,0
...
40001,2,10.0.0.6,10.0.0.9,82290,85714096,265,900000000,265000000000,3,2242,2242,2277466,294,1,TCP,2,4338,1442,0,0.0,0.0,1,1
33216,3,10.0.0.1,10.0.0.14,27359,30370037,106,837000000,106000000000,4,7385,7385,7534350,294,0,UDP,3,4366,1442,0,0.0,0.0,0,0
49862,4,10.0.0.7,10.0.0.2,25654,28602586,93,918000000,93000000000,4,20,20,205942,450,1,TCP,4,4339,1442,0,0.0,0.0,1,1
14862,2,10.0.0.4,10.0.0.12,63720,68151848,193,860000000,193000000000,3,7916,7916,8124432,306,0,UDP,1,4369,1442,0,0.0,0.0,0,0
29085,3,10.0.0.5,10.0.0.10,99984,106070912,249,859000000,249000000000,3,1931,1931,1983890,308,1,TCP,3,4370,1442,0,0.0,0.0,1,1
