dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,10.0.0.2,10.0.0.7,0,0,0,0,0,2,4,0,0,0,0,1,TCP,4,1045,902,0,0,0,1
6492,3,10.0.0.13,10.0.0.3,704,69776,123,246000000,123000000000,3,1931,29,2842,0,0,1,ICMP,3,7678,4924,0,0,0,0
11515,4,10.0.0.9,10.0.0.4,34597,14782222,257,428000000,257000000000,5,2385,8012,663228,267,1,UDP,4,739,1956,0,0,2,0
29832,5,10.0.0.5,10.0.0.10,91478,85599258,435,728000000,436000000000,7,4357,10255,9853152,341,1,TCP,1,4388,1775,0,386,3421,1
42005,7,10.0.0.11,10.0.0.2,260006,147128002,1881,999000000,1880000000000,12,8803,18898,14953872,629,1,UDP,3,1596,1837,20580,16577,20580,0
35896,1,10.0.0.7,10.0.0.8,2060,248048,194,720000000,194000000000,4,3239,3137,310968,190,1,ICMP,3,7382,5687,0,0,0,1
6078,2,10.0.0.3,10.0.0.13,19242,1703284,330,566000000,331000000000,3,3287,5238,502784,286,1,TCP,4,6452,906,0,0,0,0
13985,3,10.0.0.4,10.0.0.2,114489,12487468,294,535000000,294000000000,4,3491,9073,904384,307,1,UDP,1,5269,5187,0,0,0,0
32601,6,10.0.0.8,10.0.0.5,81354,8783686,269,879000000,269000000000,3,1902,8953,882514,290,1,ICMP,4,4359,8381,0,0,0,1
39574,5,10.0.0.11,10.0.0.10,75019,8188026,258,837000000,258000000000,3,1776,8343,817452,291,0,TCP,3,4268,4349,0,0,0,0
17862,4,10.0.0.9,10.0.0.11,33887,2167958,144,300000000,144000000000,3,2351,6267,611186,254,1,UDP,1,9086,9077,0,0,0,1
11195,2,10.0.0.2,10.0.0.4,83836,8739712,271,873000000,271000000000,3,1818,8839,872074,290,0,TCP,3,4180,9072,0,0,0,0
27648,2,10.0.0.7,10.0.0.3,938,91924,961,404000000,961000000000,7,2790,30,2940,1,1,ICMP,4,135660396,271118816,3,3,6,0
11319,4,10.0.0.5,10.0.0.9,41310,2726556,144,350000000,144000000000,5,4918,9841,649506,328,1,TCP,4,16723904,238818868,172,3923,4095,0
4997,3,10.0.0.2,10.0.0.9,97721,107295682,218,905000000,219000000000,3,2373,13432,14744904,447,1,TCP,1,469335583,34334592,0,0,0,0
4217,6,10.0.0.4,10.0.0.11,52817,3485994,161,33000000,161000000000,3,1143,9989,659298,332,1,TCP,3,3498727,79035279,175,3924,4099,0
11365,2,10.0.0.2,10.0.0.8,63278,67454348,140,394000000,140000000000,3,1790,13529,14421914,450,0,UDP,1,4005,139616712,0,3838,3838,0
11605,3,10.0.0.13,10.0.0.8,103011,107337462,330,888000000,331000000000,4,1943,9266,9655172,308,0,UDP,3,4360,278700368,0,3838,3838,1
24780,3,10.0.0.8,10.0.0.4,64488,67196496,228,356000000,228000000000,5,2997,8553,8912226,285,1,ICMP,3,67666895,69392363,2370,2370,4740,1
2769,4,10.0.0.10,10.0.0.3,80016,83376672,287,69000000,287000000000,3,4440,8683,9047686,289,0,UDP,1,3943,1492,0,0,0,1
3639,4,10.0.0.3,10.0.0.5,126562,131877604,436,966000000,437000000000,2,7916,7165,7465930,238,0,UDP,1,4759,143927708,0,0,0,1
10176,4,10.0.0.10,10.0.0.7,91459,95300278,293,350000000,293000000000,3,1931,9310,9701020,310,0,UDP,3,3413,3539,0,0,0,1
44256,1,10.0.0.4,10.0.0.2,938,91924,961,404000000,961000000000,7,2790,30,2940,1,1,ICMP,4,135660396,271118816,3,3,6,1
31991,6,10.0.0.3,10.0.0.10,2060,248048,194,720000000,194000000000,4,3239,3137,310968,190,1,TCP,3,7382,5687,0,0,0,0
20336,2,10.0.0.5,10.0.0.13,19242,1703284,330,566000000,331000000000,3,3287,5238,502784,286,1,UDP,4,6452,906,0,0,0,1
45228,5,10.0.0.8,10.0.0.11,114489,12487468,294,535000000,294000000000,4,3491,9073,904384,307,1,TCP,1,5269,5187,0,0,0,1
62480,4,10.0.0.9,10.0.0.5,81354,8783686,269,879000000,269000000000,3,1902,8953,882514,290,1,ICMP,4,4359,8381,0,0,0,1
78990,7,10.0.0.11,10.0.0.7,75019,8188026,258,837000000,258000000000,3,1776,8343,817452,291,0,UDP,3,4268,4349,0,0,0,1
87500,3,10.0.0.2,10.0.0.10,33887,2167958,144,300000000,144000000000,3,2351,6267,611186,254,1,TCP,1,9086,9077,0,0,0,1
8437,2,10.0.0.4,10.0.0.2,83836,8739712,271,873000000,271000000000,3,1818,8839,872074,290,0,UDP,3,4180,9072,0,0,0,1
73524,4,10.0.0.7,10.0.0.3,938,91924,961,404000000,961000000000,7,2790,30,2940,1,1,TCP,4,135660396,271118816,3,3,6,
