dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11245,4,10.0.0.6,10.0.0.8,54279,57861414,120,777000000,121000000000.0,5,1298,13586,14482676,452,0,UDP,3,105431508,3572,6529,0.0,6529.0,0,1
6852,7,10.0.0.16,10.0.0.9,225,22050,231,359000000,231000000000.0,5,3443,29,2842,0,0,ICMP,3,134930219,45983,1,1.0,2.0,0,0
33663,6,10.0.0.5,10.0.0.12,574,56252,588,346000000,588000000000.0,6,3024,29,2842,0,1,ICMP,1,58446,54526,0,0.0,0.0,0,1
5322,5,10.0.0.5,10.0.0.11,89,8722,91,791000000,91791000000.0,3,14,29,2842,0,0,ICMP,2,4147,1262,0,0.0,0.0,0,1
10086,1,10.0.0.1,10.0.0.7,113885,121401410,253,263000000,253000000000.0,2,1931,13538,14431508,451,0,UDP,2,3413,3539,0,0.0,0.0,0,0
41674,4,10.0.0.5,10.0.0.12,12312,812664,51,286000000,51286000000.0,5,8084,7357,485574,245,1,TCP,4,22318254,193707222,138,4057.0,4195.0,1,1
29112,6,10.0.0.2,10.0.0.7,42670,44462140,160,6000000,160000000000.0,4,1057,8867,9239414,295,1,ICMP,2,44627623,30079,2458,0.0,2458.0,1,0
11079,4,10.0.0.4,10.0.0.3,127075,6862050,423,647000000,424000000000.0,2,4357,8291,447714,276,1,TCP,1,4106,1312,0,0.0,0.0,1,0
10116,4,10.0.0.18,10.0.0.7,104299,108679558,333,436000000,333000000000.0,4,1931,9335,9727070,311,0,UDP,2,3649,1242,0,0.0,0.0,1,1
11455,3,10.0.0.13,10.0.0.8,56610,58987620,180,874000000,181000000000.0,5,1943,9292,9682264,309,0,UDP,2,4089,202957886,0,2577.0,2577.0,1,1
...
39991,3,10.0.0.7,10.0.0.5,1137,111774,119,904000000,119000000000.0,3,1943,1298,13586,452,0,UDP,1,856,4266,0,0.0,0.0,0,0
39992,2,10.0.0.3,10.0.0.8,360,35220,373,746000000,373000000000.0,5,1931,29,2842,0,0,ICMP,3,105431508,3572,6529,0.0,6529.0,1,1
39993,7,10.0.0.1,10.0.0.2,12,1188,13,941000000,13000000000.0,4,4357,8291,447714,276,1,TCP,4,22318254,193707222,138,4057.0,4195.0,0,0
39994,2,10.0.0.9,10.0.0.15,902,89412,913,941000000,913000000000.0,3,3443,29,2842,0,0,ICMP,3,134930219,45983,1,1.0,2.0,1,1
39995,5,10.0.0.4,10.0.0.16,17,1682,18,937000000,18000000000.0,2,3024,29,2842,0,1,ICMP,2,44627623,30079,2458,0.0,2458.0,0,0
39996,6,10.0.0.13,10.0.0.5,9,872,10,946000000,10000000000.0,5,8084,7357,485574,245,1,TCP,1,4106,1312,0,0.0,0.0,1,1
39997,1,10.0.0.15,10.0.0.4,6,588,7,943000000,7000000000.0,4,1298,13586,14482676,452,0,UDP,2,3649,1242,0,0.0,0.0,0,0
39998,4,10.0.0.10,10.0.0.7,14,1368,15,936000000,15000000000.0,3,1943,9292,9682264,309,0,UDP,4,22318254,193707222,138,4057.0,4195.0,1,1
39999,2,10.0.0.8,10.0.0.6,10,972,11,945000000,11000000000.0,2,1057,8867,9239414,295,1,ICMP,1,58446,54526,0,0.0,0.0,0,0
40000,7,10.0.0.11,10.0.0.2,4,372,5,944000000,5000000000.0,5,1931,13538,14431508,451,0,UDP,2,4089,202957886,0,2577.0,2577.0,1,1
