dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
21890,4,10.0.0.9,10.0.0.3,4022,4223790,122,104000000,122104000000.0,2,2574,2574,4223790,2100,1,ICMP,3,3075,3075,0,0.0,0.0,0
3513,1,10.0.0.11,10.0.0.5,3982,4195444,118,86000000,11886000000.0,3,2211,1397,4195444,2100,1,ICMP,4,134770428,151313010,2,2572.0,2574.0,1
41403,3,10.0.0.2,10.0.0.5,3945,4151520,116,82000000,11682000000.0,2,1910,1910,4151520,2100,1,UDP,2,168355535,3833,2759,0.0,2759.0,1
26105,5,10.0.0.8,10.0.0.12,4007,4218400,120,99000000,12099000000.0,4,1306,1313,4218400,2100,0,UDP,1,3369,1332,0,0.0,0.0,0
30881,4,10.0.0.3,10.0.0.4,3963,4176010,117,87000000,11787000000.0,3,2385,1319,4176010,2100,0,UDP,3,3236,3404,0,0.0,0.0,1
33273,3,10.0.0.5,10.0.0.2,3922,4136190,115,83000000,11583000000.0,2,2936,2936,4136190,2100,1,ICMP,4,134770428,151313010,2,2572.0,2574.0,0
12170,5,10.0.0.7,10.0.0.10,3994,4205120,119,94000000,11994000000.0,3,1931,1310,4205120,2100,0,UDP,1,3492,1332,0,0.0,0.0,0
42005,7,10.0.0.1,10.0.0.12,3961,4173610,117,86000000,11786000000.0,9,1278,0,0,0,0,ICMP,1,271138818,271037688,2,2.0,4.0,1
11275,5,10.0.0.11,10.0.0.8,3981,4194010,118,85000000,11885000000.0,3,1306,1312,4194010,2100,0,UDP,3,3236,3404,0,0.0,0.0,1
9876,1,10.0.0.1,10.0.0.7,3960,4172060,117,86000000,11786000000.0,2,1910,1910,4172060,2100,0,UDP,1,3369,1332,0,0.0,0.0,1
5952,3,10.0.0.2,10.0.0.9,3959,4170460,117,86000000,11786000000.0,9,1278,0,0,0,0,ICMP,1,271138818,271037688,2,2.0,4.0,0
9876,4,10.0.0.12,10.0.0.7,3980,4192460,118,85000000,11885000000.0,5,1910,1312,4192460,2100,0,UDP,1,3492,1332,0,0.0,0.0,1
2649,5,10.0.0.10,10.0.0.3,3978,4190660,118,85000000,11885000000.0,3,2385,1312,4190660,2100,0,UDP,2,168355535,3833,2759,0.0,2759.0,0
24660,2,10.0.0.8,10.0.0.4,3977,4189010,118,84000000,11884000000.0,5,2997,1312,4189010,2100,1,ICMP,4,34672275,32946807,2359,2359.0,4718.0,0
27077,5,10.0.0.2,10.0.0.7,3976,4187360,118,84000000,11884000000.0,4,948,1312,4187360,2100,1,ICMP,1,4465,1242,0,0.0,0.0,0
10146,4,10.0.0.18,10.0.0.7,3975,4185660,118,84000000,11884000000.0,4,1931,1312,4185660,2100,0,UDP,3,143928799,3959,2108,0.0,2108.0,0
24870,5,10.0.0.4,10.0.0.8,3974,4184060,118,83000000,11883000000.0,11,2997,1312,4184060,2100,1,ICMP,2,94809934,96535402,2445,2445.0,4890.0,1
