dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,2,4,-130933,-146442594,-4365,0,UDP,1,2527,856,0,0,0,0
7128,3,776,76636,130,233000000,130000000000,3,1943,29,2842,0,1,TCP,1,4659,3488,0,0,0,1
11995,4,41394,6261858,259,419000000,259000000000,5,3021,8167,525074,272,1,ICMP,3,2503925,11932179,0,0,2,0
30042,5,95062,74559789,421,705000000,422000000000,7,7385,9891,9691642,329,1,UDP,1,135518338,142171720,173,333,2654,1
42035,4,53509,59385746,121,293000000,121000000000.0,7,12549,13111,14758006,437,1,TCP,1,5436,1312,0,0.0,0.0,0
30921,6,755,73990,773,221000000,773000000000.0,9,4942,29,2842,0,1,ICMP,3,406285435,135713477,2,2.0,4.0,0
11124,3,284,302744,0,837000000,837000000.0,2,558,0,0,0,0,UDP,1,3096,1032,0,0.0,0.0,0
41163,3,94683,104548982,213,320000000,213000000000.0,7,8050,13332,14772520,444,1,TCP,3,109047887,7477342,4297,438.0,4735.0,0
7512,9,870,85260,891,508000000,892000000000.0,5,3443,29,2842,0,0,ICMP,4,88522,88075,0,0.0,0.0,0
31063,4,99959,5397786,340,306000000,340000000000.0,5,3982,7806,421524,260,1,TCP,1,4938643,4594804,121,113.0,234.0,1
4517,5,212034,11449836,360,992000000,361000000000.0,3,1143,17944,968976,598,1,TCP,3,4797,1492,0,0.0,0.0,1
4517,5,105722,6131876,357,4000000,357000000000.0,3,1143,8972,520376,299,1,TCP,5,6532738,147122626,0,0.0,0.0,1
41313,7,61131,3301074,203,267000000,203000000000.0,5,8050,8852,478008,295,1,TCP,3,7496123,8123515,255,274.0,529.0,1
11785,3,115877,120743834,410,556000000,411000000000.0,2,1943,5880,6126960,196,0,UDP,1,3952,1312,0,0.0,0.0,1
14561,6,1183,161175,527,222000000,527000000000.0,4,5681,926,255097,245,1,TCP,3,8899,1490,0,0.0,0.0,0
25892,10,1000,109036,531,943000000,531000000000.0,3,15142,834,271150,259,1,UDP,2,1614,1232,0,0.0,0.0,1
33984,2,3,79,14,3000000,14000000.0,2,2,2,39,1,0,TCP,3,38,41,0,0.0,0.0,0
42935,10,260006,147128002,1881,999000000,1880000000000,17,25224,19190,14953872,639,1,UDP,4,1269981973,990596183,9473,9473,9572,0
32433,2,27,2646,28,458000000,28458000000.0,5,16,0,0,0,1,ICMP,2,3925,1102,0,0.0,0.0,0
31515,4,999,97902,1062,965000000,1060000000000.0,5,2063,4,392,0,1,ICMP,2,271613636,271626972,0,0.0,0.0,0
2829,1,43073,45915818,95,671000000,95671000000.0,3,4440,13601,14498666,453,0,UDP,1,614262017,3300,8912,0.0,8912.0,1
28488,3,244,23912,250,927000000,251000000000.0,9,2800,29,2842,0,1,ICMP,3,271329621,135871159,2,2.0,4.0,0
25140,3,80,7840,83,60000000,83060000000.0,5,3009,29,2842,0,1,ICMP,3,133809684,135535068,0,0.0,0.0,1
9846,4,19657,20482594,63,414000000,63414000000.0,5,1910,9239,9627038,307,0,UDP,3,3236,3362,0,0.0,0.0,0
27197,7,129996,135455832,461,211000000,461000000000.0,4,948,2338,2436196,77,1,ICMP,2,4828,1402,0,0.0,0.0,1
5472,2,26861,27989162,90,58000000,90058000000.0,3,1264,8915,9289430,297,1,ICMP,3,4613,28421827,0,2471.0,2471.0,0
30012,2,131162,135573876,1010,161000000,1010000000000.0,5,2053,59,5782,1,1,ICMP,2,5128,1382,0,0.0,0.0,1
3369,5,134708,143598728,313,359000000,313000000000.0,4,7916,5655,6028230,188,0,UDP,4,5172,475176076,0,4126.0,4126.0,0
39672,1,977,93887,107,898000000,107898000000.0,5,2520,8,744,0,1,ICMP,3,135518,135867,0,0.0,0.0,1
7252,4,11892,12392904,84,567000000,84567000000.0,5,1536,6771,7153786,222,0,UDP,2,2716,1402,0,0.0,0.0,0
33689,3,19,1962,21,350000000,21350000000.0,5,17,0,0,0,1,ICMP,1,856,3925,0,0.0,0.0,1
14889,2,3109,3199490,35,252000000,70520000000.0,3,715,2257,2349630,71,1,ICMP,4,1358,475176076,0,4126.0,4126.0,0
3269,1,4000,4000000,100,400000000,100400000000.0,5,20,4000,4000000,400,0,UDP,2,2716,1402,0,0.0,0.0,1
dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
34023,6,876,85848,898,401000000,898000000000.0,5,3034,29,2842,0,1,ICMP,1,93908,89904,0,0.0,0.0,0
2638,4,66002,70358132,143,623000000,144000000000.0,3,2375,13527,14419782,450,0,UDP,3,3530,86743136,0,6527.0,6527.0,0
10116,1,127413,135822258,283,264000000,283000000000.0,2,1931,13528,14420848,450,0,UDP,4,3539,3413,0,0.0,0.0,0
24750,4,305,29890,313,179000000,313000000000.0,5,2997,29,2842,0,1,ICMP,2,58778611,60504079,2352,2352.0,4704.0,0
4337,7,92644,6114612,280,998000000,281000000000.0,3,1143,9981,658746,332,1,TCP,3,4529,4074,0,0.0,0.0,0
42245,3,64769,3756602,229,537000000,230000000000.0,7,13231,8357,484706,278,1,TCP,3,173934033,162196938,165,4042.0,4207.0,1
2889,2,99809,104000978,357,471000000,357000000000.0,3,4440,8216,8561072,273,0,UDP,2,3413,3903,0,0.0,0.0,1
24551,4,5952,345216,20,393000000,20393000000.0,9,10817,0,0,0,1,TCP,4,3823128,61606412,361,4156.0,4517.0,1
9966,2,26118,27214956,83,383000000,83383000000.0,4,1931,9427,9822934,314,0,UDP,2,3719,1172,0,0.0,0.0,1
10146,2,134948,143854568,312,914000000,313000000000.0,3,1931,7570,8069620,252,0,UDP,4,3609,3413,0,0.0,0.0,1
9750,6,2199,223342,947,826000000,947000000000.0,4,1322,2199,223342,0,1,TCP,3,1350,829,0,0.0,0.0,0
12345,3,5678,567890,456,789000000,456789000000.0,2,4567,5678,567890,0,1,UDP,2,9876,5432,0,0.0,0.0,1
34567,7,8910,891012,123,456000000,123456000000.0,5,1234,8910,891012,0,1,ICMP,1,7654,3210,0,0.0,0.0,0
98765,4,4321,432123,321,654000000,321654000000.0,9,5678,4321,432123,0,1,TCP,4,1234,5678,0,0.0,0.0,1
99999,2,1000,100000,400,400000000,400000000000.0,3,2000,1000,100000,0,1,UDP,2,3000,4000,0,0.0,0.0,0
dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,2,4,0,0,0,0,ICMP,1,2668,856,0,0,0,0
6918,3,769,75754,121,238000000,121000000000,3,1931,29,2842,0,0,UDP,4,3539,3199,0,0.0,0.0,0
11635,4,39341,9551360,250,423000000,251000000000,5,2790,8324,651552,277,1,TCP,3,6436981,147084102,0,0.0,0.0,1
29922,5,92938,82781700,417,721000000,417000000000,7,4920,12659,9838564,421,1,TCP,2,5139,1402,0,0.0,0.0,1
42935,7,260006,147128002,1881,999000000,1880000000000,12,13797,19190,14953872,639,1,UDP,2,3826,1242,0,0.0,0.0,1
28098,4,713,69874,731,201000000,731000000000.0,9,2790,29,2842,0,1,ICMP,3,269435147,271099053,0,0.0,0.0,1
34113,5,964,94472,988,432000000,988000000000.0,7,3034,29,2842,0,1,ICMP,1,31785,27688,0,0.0,0.0,0
30342,7,741,72618,760,34000000,760000000000.0,3,2053,29,2842,0,1,ICMP,2,80119,76212,0,0.0,0.0,1
15365,5,84054,4875132,277,542000000,278000000000.0,9,11471,9021,523218,300,1,TCP,3,6436981,147084102,0,0.0,0.0,0
5862,4,616,60368,631,896000000,632000000000.0,7,1264,28,2744,0,0,ICMP,4,135650540,135651030,2,2.0,4.0,1
9996,3,35538,37030596,113,358000000,113000000000.0,4,1931,9423,9818766,314,0,UDP,4,3539,3199,0,0.0,0.0,0
7117,5,59612,3457496,196,569000000,197000000000.0,5,11888,8657,502106,288,1,TCP,2,5139,1402,0,0.0,0.0,0
7267,4,103396,5996968,351,413000000,351000000000.0,7,12106,8967,520086,298,1,TCP,3,12020849,302947950,154,3714.0,3868.0,1
