dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,2,4,0,0,0,0,UDP,1,2668,856,0,0,0,0
6918,3,769,75754,121,238000000,121000000000,3,1931,29,2842,0,0,TCP,4,4425,3413,0,0,0,1
11635,4,39341,9551360,250,423000000,251000000000,5,2790,8324,651552,277,1,UDP,2,231511,9897209,0,0,2,0
29922,5,92938,82781700,417,721000000,417000000000,7,4920,12659,9838564,421,1,ICMP,3,135577081,135892103,175,503,3838,1
42935,7,260006,147128002,1881,999000000,1880000000000,12,13797,19190,14953872,639,1,TCP,1,1269981973,990596183,20580,16577,20580,0
9477,3,936,91298,74,918000000,74918000000.0,2,4440,12883,13733278,429,0,UDP,4,4682,299707690,0,3838.0,3838.0,1
19062,2,1807,181640,87,897000000,17897000000.0,3,2364,10346,10780532,344,1,ICMP,2,37460973,38275761,2867,2867.0,5734.0,0
27142,4,3024,309900,117,564000000,117564000000.0,5,13231,13167,14501990,438,1,TCP,3,372563446,31228074,8097,474.0,8571.0,1
35212,6,4167,427820,156,723000000,156723000000.0,7,3024,30,2940,1,1,UDP,1,135021665,271081455,5,2388.0,2393.0,0
43282,1,8125,818750,220,820000000,220820000000.0,11,1143,10021,661386,334,1,ICMP,4,1992955,1852726,144,134.0,278.0,1
