dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
28518,3,977,95746,1001,168000000,1000000000000.0,9,2800,30,2940,1,1,ICMP,1,28277,24034,0,0.0,0.0,0,0
27558,7,899,88102,921,382000000,921000000000.0,6,2448,30,2940,1,1,ICMP,1,5402,23254870,0,2081.0,2081.0,0,0
31152,4,633,62034,649,882000000,650000000000.0,5,2063,29,2842,0,1,ICMP,1,542683848,542272832,1,1.0,2.0,0,0
11365,1,18306,19514196,40,713000000,40713000000.0,3,1790,13529,14421914,450,0,UDP,1,3795,19623188,0,3838.0,3838.0,0,0
27257,1,460,45080,471,202000000,471000000000.0,3,948,30,2940,1,1,ICMP,2,135463444,1984,0,0.0,0.0,0,0
2949,5,128951,134366942,467,348000000,467000000000.0,2,4440,6027,6280134,200,0,UDP,4,4533,276816257,0,1626.0,1626.0,1,1
32673,6,57028,59423176,168,230000000,168000000000.0,5,2364,10203,10631526,340,1,ICMP,2,59522965,58708247,2837,2837.0,5674.0,1,1
11515,4,106636,111114712,340,757000000,341000000000.0,6,1943,9156,9540552,305,0,UDP,1,3775,1242,0,0.0,0.0,1,1
27437,2,130635,135522230,651,184000000,651000000000.0,5,960,29,2842,0,1,ICMP,4,135603150,271061192,1,1.0,2.0,1,1
11245,4,8960,9551360,18,814000000,18814000000.0,5,1298,0,0,0,0,UDP,2,3534,1422,0,0.0,0.0,1,1
92229,3,4010,400040,330,72000000,330000000000.0,8,2922,25,2450,1,1,ICMP,1,3530,399910,0,0.0,0.0,0,0
20766,2,3743,371430,402,92000000,402000000000.0,6,2775,30,2940,1,1,ICMP,2,3700,371430,0,0.0,0.0,0,0
85462,1,3900,390000,400,82000000,400000000000.0,4,2811,25,2450,1,1,ICMP,3,3900,0,0,0.0,0.0,0,0
71544,5,3999,399900,399,72000000,1995000000000.0,9,2921,25,2450,1,1,ICMP,4,3990,9,0,0.0,0.0,0,0
43008,4,3980,398000,398,62000000,1594000000000.0,7,2810,25,2450,1,1,ICMP,1,3980,20,0,0.0,0.0,0,0
73932,6,3970,397000,397,52000000,1397000000000.0,6,2809,25,2450,1,1,ICMP,2,3970,30,0,0.0,0.0,0,0
57387,7,3960,396000,396,42000000,1196000000000.0,5,2808,25,2450,1,1,ICMP,3,3960,40,0,0.0,0.0,0,0
95831,1,3950,395000,395,32000000,995000000000.0,4,2807,25,2450,1,1,ICMP,4,3950,50,0,0.0,0.0,0,0
82762,3,3940,394000,394,22000000,788000000000.0,7,2806,25,2450,1,1,ICMP,1,3940,60,0,0.0,0.0,0,0
81747,4,3930,393000,393,12000000,588000000000.0,6,2805,25,2450,1,1,ICMP,2,3930,70,0,0.0,0.0,0,0
12334,5,3920,392000,392,20000000,488000000000.0,5,2804,25,2450,1,1,ICMP,3,3920,80,0,0.0,0.0,0,0
90856,6,3910,391000,391,10000000,391000000000.0,4,2803,25,2450,1,1,ICMP,4,3910,90,0,0.0,0.0,0,0
99153,7,3900,390000,390,0,390
