dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
30561,5,306,29988,313,22000000,313000000000.0,9,4920,30,2940,1,1,ICMP,1,271227941,269150054,0,0.0,0.0,0
25110,7,3,294,3,116000000,3116000000.0,7,3009,0,0,0,1,ICMP,2,5996,1746,0,0.0,0.0,0
14645,5,91357,6029790,281,254000000,281000000000.0,5,7385,9956,657096,331,1,TCP,1,4405,1402,0,0.0,0.0,0
3219,4,74946,79892436,162,769000000,163000000000.0,4,7894,13421,14306786,447,0,UDP,2,4426,1312,0,0.0,0.0,0
24960,6,608,59584,623,342000000,623000000000.0,7,2997,29,2842,0,1,ICMP,3,135173586,135521502,1752,1752.0,3504.0,0
11485,4,34153,35587426,110,292000000,110000000000.0,6,1943,9256,9644752,308,0,UDP,4,4211,245551059,0,2580.0,2580.0,1
10026,2,44980,46869160,143,392000000,143000000000.0,4,1931,9439,9835438,314,0,UDP,4,3539,3413,0,0.0,0.0,1
9816,4,10418,10855556,33,411000000,33411000000.0,4,1109,9457,9854194,315,0,UDP,2,3450,1422,0,0.0,0.0,1
10056,4,134705,143595530,321,325000000,321000000000.0,5,1931,2900,3091400,96,0,UDP,4,307807519,4253,7259,0.0,7259.0,1
9846,2,5967,6360822,12,891000000,12891000000.0,3,1910,0,0,0,0,UDP,4,3362,3236,0,0.0,0.0,1
...
10245,7,921,88264,86,827000000,8627000000.0,7,4920,30,2940,1,1,ICMP,1,271227941,269150054,0,0.0,0.0,1
11457,3,54,5162,1,846000000,1846000000.0,3,1931,0,0,0,1,ICMP,2,5996,1746,0,0.0,0.0,1
13646,6,91357,6029790,281,254000000,281000000000.0,5,7385,9956,657096,331,1,TCP,1,4405,1402,0,0.0,0.0,1
31219,2,74946,79892436,162,769000000,163000000000.0,4,7894,13421,14306786,447,0,UDP,2,4426,1312,0,0.0,0.0,1
24960,4,608,59584,623,342000000,623000000000.0,7,2997,29,2842,0,1,ICMP,3,135173586,135521502,1752,1752.0,3504.0,1
14585,5,34153,35587426,110,292000000,110000000000.0,6,1943,9256,9644752,308,0,UDP,4,4211,245551059,0,2580.0,2580.0,1
10026,7,44980,46869160,143,392000000,143000000000.0,4,1931,9439,9835438,314,0,UDP,4,3539,3413,0,0.0,0.0,1
9816,3,10418,10855556,33,411000000,33411000000.0,4,1109,9457,9854194,315,0,UDP,2,3450,1422,0,0.0,0.0,1
10056,5,134705,143595530,321,325000000,321000000000.0,5,1931,2900,3091400,96,0,UDP,4,307807519,4253,7259,0.0,7259.0,1
9846,4,5967,6360822,12,891000000,12891000000.0,3,1910,0,0,0,0,UDP,4,3362,3236,0,0.0,0.0,1
