dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000.0,2,1931,13385,14268410,446,0,UDP,3,35264510,3446,3839,0.0,3839.0,0,1.0
6,10.0.0.12,10.0.0.7,518,50764,531,211000000,531000000000.0,4,948,29,2842,0,1,ICMP,1,4778,1312,0,0.0,0.0,0,0.0
5,10.0.0.8,10.0.0.9,259060,13989240,466,569000000,467000000000.0,5,2373,9364,505656,312,1,TCP,4,322219485,181435711,81,142.0,223.0,0,1.0
2,10.0.0.3,10.0.0.11,584,57232,598,487000000,598000000000.0,7,2364,29,2842,0,1,ICMP,1,271102566,270284464,2,2.0,4.0,0,0.0
3,10.0.0.8,10.0.0.2,185,18130,193,134000000,193000000000.0,5,2997,30,2940,1,1,ICMP,4,25822685,24097217,2274,2274.0,4548.0,0,1.0
2,10.0.0.10,10.0.0.3,57240,59644080,195,755000000,196000000000.0,3,2385,7674,7996308,255,0,UDP,3,3581,3413,0,0.0,0.0,1,0.0
5,10.0.0.20,10.0.0.8,60240,62770080,190,791000000,191000000000.0,3,1790,9404,9798968,313,0,UDP,3,3413,3623,0,0.0,0.0,1,1.0
7,10.0.0.3,10.0.0.5,95567,99580814,317,524000000,318000000000.0,2,7916,8304,8652768,276,0,UDP,3,276816961,143930035,0,0.0,0.0,1,1.0
6,10.0.0.10,10.0.0.3,24564,25595688,77,276000000,77276000000.0,3,2385,9322,9713524,310,0,UDP,3,3572,110858482,0,6430.0,6430.0,1,0.0
2,10.0.0.10,10.0.0.8,6374,6641708,20,681000000,20681000000.0,4,1943,0,0,0,0,UDP,3,116037807,3875,7676,0.0,7676.0,1,1.0
5,10.0.0.3,10.0.0.7,1222,123954,416,811000000,417000000000.0,4,2447,7,624,0,1,ICMP,3,3339,764,0,0.0,0.0,0,0.0
7,10.0.0.1,10.0.0.6,2337,241457,719,547000000,72000000000.0,2,945,1374,1398660,317,0,UDP,3,1490,3446,0,0.0,0.0,1,1.0
1,10.0.0.8,10.0.0.10,2079,203988,404,868000000,405000000000.0,3,2041,6,528,0,1,ICMP,3,764,3339,0,0.0,0.0,0,0.0
2,10.0.0.10,10.0.0.6,848,81944,845,389000000,846000000000.0,3,1374,3,264,0,1,ICMP,3,3446,1490,0,0.0,0.0,1,1.0
7,10.0.0.9,10.0.0.4,3302,339072,917,397000000,918000000000.0,2,1898,1554,1606936,311,0,UDP,3,1312,4778,0,0.0,0.0,0,0.0
7,10.0.0.10,10.0.0.11,736,72128,753,249000000,753000000000.0,11,4942,30,2940,1,1,ICMP,4,270309609,135566057,0,0.0,0.0,0,0.0
4,10.0.0.10,10.0.0.6,344,33712,352,778000000,353000000000.0,7,4942,29,2842,0,1,ICMP,3,406747563,134102221,2,2.0,4.0,0,0.0
2,10.0.0.5,10.0.0.2,300,29400,308,304000000,308000000000.0,7,3024,29,2842,0,1,ICMP,4,205167211,221885059,2695,2687.0,5382.0,0,0.0
4,10.0.0.5,10.0.0.9,51123,3374262,174,351000000,174000000000.0,7,6696,9813,647706,327,1,TCP,3,255493346,19133974,4246,428.0,4674.0,0,0.0
3,10.0.0.12,10.0.0.5,74952,79898832,162,732000000,163000000000.0,5,7894,13421,14306786,447,0,UDP,2,4426,1312,0,0.0,0.0,0,0.0
3,10.0.0.5,10.0.0.8,9318,9932988,20,672000000,20672000000.0,3,2242,0,0,0,0,UDP,2,4106,1472,0,0.0,0.0,1,1.0
5,10.0.0.3,10.0.0.5,95538,99550596,317,298000000,317000000000.0,2,7916,8304,8652768,276,0,UDP,1,699267223,3776,0,0.0,0.0,1,1.0
4,10.0.0.7,10.0.0.4,110046,5942484,180,751000000,181000000000.0,5,1143,18496,998784,616,1,TCP,1,4569,1242,0,0.0,0.0,1,1.0
3,10.0.0.3,10.0.0.13,122676,7115208,407,925000000,408000000000.0,5,4357,8756,507848,291,1,TCP,1,6378782,5936458,136,127.0,263.0,1,1.0
2,10.0.0.10,10.0.0.8,110012,114632504,380,759000000,381000000000.0,2,1943,6795,7080390,226,0,UDP,1,3952,1312,0,0.0,0.0,1,1.0
4,10.0.0.8,10.0.0.3,829,82900,837,636000000,837000000000.0,3,945,0,0,0,0,UDP,2,4106,1472,0,0.0,0.0,0,0.0
3,10.0.0.4,10.0.0.12,826,82600,834,633000000,834000000000.0,2,945,0,0,0,0,UDP,2,4106,1472,0,0.0,0.0,1,1.0
2,10.0.0.3,10.0.0.8,823,82300,831,630000000,831000000000.0,2,945,0,0,0,0,UDP,2,4106,1472,0,0.0,0.0,0,0.0
7,10.0.0.4,10.0.0.13,820,82000,828,627000000,828000000000.0,3,945,0,0,0,0,UDP,2,4106,1472,0,0.0,0.0,1,1.0
2,10.0.0.2,10.0.0.9,7,700,15,120000000,15000000000.0,2,4,0,0,0,0,UDP,2,4106,1472,0,0.0,0.0,1,1.0
7,10.0.0.13,10.0.0.7,4,400,12,90000000,12000000000.0,2,4,0,0,0,0,UDP,2,4106,1472,0,0.0,0.0,0,0.0
4,10.0.0.11,10.0.0.6,1,100,9,60000000,9000000000.0,2,4,0,0,0,0,UDP,2,4106,1472,0,0.0,0.0,1,1.0
3,10.0.0.12,10.0.0.2,0,0,6,30000000,6000000000.0,2,4,0,0,0,0,UDP,2,4106,1472,0,0.0,0.0,0,0.0
1,0,10.0.0.4,0,0,0,0,0,2,4,0,0,0,0,1,ICMP,2,72630,135529030,0,0.0,0.0,0.0
