dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11245,5,10.0.0.11,10.0.0.8,76697,81759002,170,261000000,170000000000.0,3,1298,13585,14481610,452,0,UDP,3,3404,3236,0,0.0,0.0,0
31371,4,10.0.0.6,10.0.0.10,491,48118,502,925000000,503000000000.0,5,4942,30,2940,1,1,ICMP,1,6087,1542,0,0.0,0.0,0
33603,4,10.0.0.9,10.0.0.5,466,45668,478,371000000,478000000000.0,7,3024,29,2842,0,1,ICMP,1,5437,1382,0,0.0,0.0,0
6702,5,10.0.0.9,10.0.0.3,684,67032,701,598000000,702000000000.0,11,3443,29,2842,0,0,ICMP,2,5428,1542,0,0.0,0.0,0
33753,3,10.0.0.12,10.0.0.5,662,64876,678,377000000,678000000000.0,7,3024,30,2940,1,1,ICMP,2,5437,1382,0,0.0,0.0,0
12205,2,10.0.0.4,10.0.0.8,134997,143906802,310,738000000,311000000000.0,2,2242,8845,9428770,294,0,UDP,4,4775,279389447,0,0.0,0.0,1
10206,4,10.0.0.10,10.0.0.7,100080,104283360,323,352000000,323000000000.0,3,1931,8621,8983082,287,0,UDP,2,3756,1242,0,0.0,0.0,1
2769,2,10.0.0.1,10.0.0.3,3042,3242772,35,83000000,35083000000.0,6,4440,332,353912,11,0,UDP,1,3943,1242,0,0.0,0.0,1
14825,6,10.0.0.11,10.0.0.12,121910,6583140,411,227000000,411000000000.0,4,7385,8886,479844,296,1,TCP,2,18829289,304176481,134,250.0,384.0,1
9996,4,10.0.0.10,10.0.0.7,35532,37024344,113,336000000,113000000000.0,6,1931,9423,9818766,314,0,UDP,1,455665987,2208,14993,0.0,14993.0,1
...
37241,3,10.0.0.12,10.0.0.8,1468,142456,133,741000000,133000000000.0,3,1298,1536,1605920,355,0,UDP,3,3404,3236,0,0.0,0.0,1
34986,2,10.0.0.3,10.0.0.5,319,30760,303,637000000,303000000000.0,9,3024,30,2940,1,1,ICMP,1,5437,1382,0,0.0,0.0,1
19085,7,10.0.0.5,10.0.0.9,240006,147128002,1881,999000000,1880000000000.0,12,8803,18898,14953872,629,1,TCP,2,1269981973,990596183,20580,16577,20580.0,1
18786,6,10.0.0.4,10.0.0.7,91478,85599258,435,728000000,436000000000.0,7,4357,10255,9853152,341,1,TCP,2,135559596,135758389,148,386,3421.0,0
14825,6,10.0.0.11,10.0.0.12,121910,6583140,411,227000000,411000000000.0,4,7385,8886,479844,296,1,TCP,2,18829289,304176481,134,250.0,384.0,1
17999,7,10.0.0.8,10.0.0.4,34597,14782222,257,428000000,257000000000.0,5,2385,8012,663228,267,1,ICMP,2,105767,6030042,0,0.0,2.0,1
42005,7,10.0.0.3,10.0.0.10,260006,147128002,1881,999000000,1880000000000.0,12,8803,18898,14953872,629,1,TCP,2,1269981973,990596183,20580,16577,20580.0,0
