dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
27167,6,10.0.0.7,10.0.0.12,518,50764,531,118000000,531000000000.0,4,948,29,2842,0,1,ICMP,1,4778,1312,0,0.0,0.0,0,0
24960,7,10.0.0.12,10.0.0.8,560,54880,573,247000000,573000000000.0,5,2997,29,2842,0,1,ICMP,1,135117954,2060,1751,0.0,1751.0,0,1
33393,6,10.0.0.5,10.0.0.9,261,25578,268,332000000,268000000000.0,9,3024,29,2842,0,1,ICMP,3,134853073,191586333,6,2706.0,2712.0,0,0
28338,5,10.0.0.7,10.0.0.11,947,92806,971,209000000,971000000000.0,3,2800,29,2842,0,1,ICMP,3,135662321,271121901,0,0.0,0.0,0,1
6672,5,10.0.0.9,10.0.0.18,1,98,1,389000000,1389000000.0,11,3443,0,0,0,0,ICMP,4,135515145,406624153,1,1.0,2.0,0,0
3069,5,10.0.0.12,10.0.0.5,7581,8081346,13,324000000,13324000000.0,2,5882,0,0,0,0,UDP,3,285314558,4682,2266,0.0,2266.0,1,1
2608,3,10.0.0.10,10.0.0.3,5411,5638262,16,481000000,16481000000.0,3,2375,0,0,0,0,UDP,2,3624,1172,0,0.0,0.0,1,0
10116,2,10.0.0.10,10.0.0.7,72913,75975346,233,395000000,233000000000.0,3,1931,9314,9705188,310,0,UDP,3,136023301,3917,3838,0.0,3838.0,1,1
11845,2,10.0.0.10,10.0.0.8,129991,135450622,470,773000000,471000000000.0,2,1943,6701,6982442,223,0,UDP,3,3590,3842,0,0.0,0.0,1,0
6252,4,10.0.0.14,10.0.0.9,59789,62300138,200,432000000,200000000000.0,12,3421,9073,9454066,302,1,ICMP,1,47648949,1800,2521,0.0,2521.0,1,1
27167,6,10.0.0.7,10.0.0.12,518,50764,531,118000000,531000000000.0,4,948,29,2842,0,1,ICMP,1,4778,1312,0,0.0,0.0,0,0
24960,7,10.0.0.12,10.0.0.8,560,54880,573,247000000,573000000000.0,5,2997,29,2842,0,1,ICMP,1,135117954,2060,1751,0.0,1751.0,0,1
33393,6,10.0.0.5,10.0.0.9,261,25578,268,332000000,268000000000.0,9,3024,29,2842,0,1,ICMP,3,134853073,191586333,6,2706.0,2712.0,0,0
28338,5,10.0.0.7,10.0.0.11,947,92806,971,209000000,971000000000.0,3,2800,29,2842,0,1,ICMP,3,135662321,271121901,0,0.0,0.0,0,1
6672,5,10.0.0.9,10.0.0.18,1,98,1,389000000,1389000000.0,11,3443,0,0,0,0,ICMP,4,135515145,406624153,1,1.0,2.0,0,0
3069,5,10.0.0.12,10.0.0.5,7581,8081346,13,324000000,13324000000.0,2,5882,0,0,0,0,UDP,3,285314558,4682,2266,0.0,2266.0,1,1
2608,3,10.0.0.10,10.0.0.3,5411,5638262,16,481000000,16481000000.0,3,2375,0,0,0,0,UDP,2,3624,1172,0,0.0,0.0,1,0
10116,2,10.0.0.10,10.0.0.7,72913,75975346,233,395000000,233000000000.0,3,1931,9314,9705188,310,0,UDP,3,136023301,3917,3838,0.0,3838.0,1,1
11845,2,10.0.0.10,10.0.0.8,129991,135450622,470,773000000,471000000000.0,2,1943,6701,6982442,223,0,UDP,3,3590,3842,0,0.0,0.0,1,0
6252,4,10.0.0.14,10.0.0.9,59789,62300138,200,432000000,200000000000.0,12,3421,9073,9454066,302,1,ICMP,1,47648949,1800,2521,0.0,2521.0,1,1
...
39993,6,10.0.0.10,10.0.0.7,518,50764,531,118000000,531000000000.0,4,948,29,2842,0,1,ICMP,1,4778,1312,0,0.0,0.0,0,0
39994,7,10.0.0.12,10.0.0.8,560,54880,573,247000000,573000000000.0,5,2997,29,2842,0,1,ICMP,1,135117954,2060,1751,0.0,1751.0,0,1
39995,6,10.0.0.5,10.0.0.9,261,25578,268,332000000,268000000000.0,9,3024,29,2842,0,1,ICMP,3,134853073,191586333,6,2706.0,2712.0,0,0
39996,5,10.0.0.7,10.0.0.11,947,92806,971,209000000,971000000000.0,3,2800,29,2842,0,1,ICMP,3,135662321,271121901,0,0.0,0.0,0,1
39997,5,10.0.0.9,10.0.0.18,1,98,1,389000000,1389000000.0,11,3443,0,0,0,0,ICMP,4,135515145,406624153,1,1.0,2.0,0,0
39998,5,10.0.0.12,10.0.0.5,7581,8081346,13,324000000,13324000000.0,2,5882,0,0,0,0,UDP,3,285314558,4682,2266,0.0,2266.0,1,1
39999,3,10.0.0.10,10.0.0.3,5411,5638262,16,481000000,16481000000.0,3,2375,0,0,0,0,UDP,2,3624,1172,0,0.0,0.0,1,0
40000,2,10.0.0.10,10.0.0.7,72913,75975346,233,395000000,233000000000.0,3,1931,9314,9705188,310,0,UDP,3,136023301,3917,3838,0.0,3838.0,1,1
