pktcount,bytecount,dur,flows,tot_kbps,label
40646.0,33001629.0,1483.0,14.0,17096.0,1.0
18063.0,14370071.0,711.0,9.0,5060.0,0.0
15110.0,13451445.0,738.0,7.0,4698.0,1.0
17606.0,12787536.0,737.0,7.0,4303.0,0.0
36862.0,24594839.0,1441.0,13.0,14051.0,1.0
20372.0,19144411.0,1026.0,9.0,6274.0,0.0
14354.0,11152024.0,624.0,7.0,3194.0,1.0
25592.0,21377054.0,1085.0,10.0,7189.0,0.0
24493.0,20288848.0,1077.0,10.0,6809.0,1.0
22132.0,17375030.0,945.0,8.0,5461.0,0.0
20602.0,18803318.0,1039.0,9.0,6117.0,1.0
18192.0,15181207.0,837.0,8.0,4820.0,0.0
40908.0,35174529.0,1540.0,13.0,16462.0,1.0
14235.0,12082117.0,636.0,7.0,3274.0,0.0
9791.0,8342418.0,491.0,5.0,2182.0,1.0
25786.0,21890171.0,1099.0,10.0,7288.0,0.0
45594.0,38307981.0,1641.0,15.0,18658.0,1.0
16598.0,14097997.0,778.0,7.0,4381.0,0.0
37131.0,31154448.0,1488.0,13.0,15472.0,1.0
18077.0,14383720.0,711.0,9.0,5067.0,0.0
12074.0,9900308.0,541.0,6.0,2614.0,1.0
22674.0,18484586.0,964.0,8.0,5666.0,0.0
14184.0,12103977.0,633.0,7.0,3259.0,1.0
20369.0,19141735.0,1026.0,9.0,6273.0,0.0
23884.0,20931774.0,1064.0,9.0,6621.0,1.0
12962.0,10503228.0,579.0,6.0,2894.0,0.0
26000.0,22081460.0,1155.0,10.0,7728.0,1.0
20777.0,16906893.0,872.0,8.0,5139.0,0.0
33409.0,29791719.0,1352.0,12.0,13659.0,1.0
19443.0,16079122.0,851.0,8.0,5050.0,0.0
20808.0,16924387.0,873.0,8.0,5147.0,1.0
15557.0,13755032.0,749.0,7.0,4764.0,0.0
20984.0,17069196.0,884.0,8.0,5240.0,1.0
14053.0,11881890.0,622.0,7.0,3159.0,0.0
28105.0,23485960.0,1222.0,11.0,8475.0,1.0
22520.0,18351880.0,958.0,8.0,5619.0,0.0
14179.0,12098705.0,633.0,7.0,3258.0,1.0
14804.0,12472314.0,671.0,7.0,3590.0,0.0
20018.0,17004047.0,867.0,8.0,5016.0,1.0
14092.0,11917127.0,624.0,7.0,3175.0,0.0
23335.0,20389077.0,1048.0,9.0,6444.0,1.0
17095.0,14315278.0,726.0,7.0,4168.0,0.0
44351.0,37001850.0,1598.0,14.0,17919.0,1.0
14082.0,11897298.0,623.0,7.0,3170.0,0.0
26607.0,22679717.0,1176.0,10.0,7917.0,1.0
16584.0,14087276.0,778.0,7.0,4377.0,0.0
18506.0,15595032.0,822.0,8.0,4697.0,1.0
18589.0,15664809.0,825.0,8.0,4730.0,0.0
14081.0,11896437.0,623.0,7.0,3170.0,1.0
20761.0,16894176.0,871.0,8.0,5131.0,0.0
18041.0,14402890.0,712.0,9.0,5084.0,1.0
18071.0,14377929.0,711.0,9.0,5062.0,0.0
25133.0,21376821.0,1082.0,10.0,7170.0,1.0
13892.0,11715913.0,616.0,7.0,3123.0,0.0
33478.0,29846818.0,1355.0,12.0,13684.0,1.0
14204.0,12058102.0,634.0,7.0,3265.0,0.0
22392.0,18266878.0,955.0,8.0,5607.0,1.0
13755.0,11590786.0,606.0,7.0,3071.0,0.0
24286.0,20484864.0,1055.0,9.0,6538.0,1.0
19082.0,15893048.0,841.0,8.0,4951.0,0.0
22186.0,18148978.0,948.0,8.0,5558.0,1.0
16163.0,13741725.0,764.0,7.0,4263.0,0.0
19073.0,15885087.0,841.0,8.0,4948.0,1.0
18087.0,14419106.0,713.0,9.0,5090.0,0.0
19073.0,15885087.0,841.0,8.0,4948.0,1.0
14092.0,11917127.0,624.0,7.0,3175.0,0.0
24058.0,20294561.0,1070.0,9.0,6582.0,1.0
22106.0,18077336.0,944.0,8.0,5530.0,0.0
17121.0,14331698.0,727.0,7.0,4176.0,1.0
22731.0,18560097.0,971.0,8.0,5713.0,0.0
14210.0,12062781.0,634.0,7.0,3267.0,1.0
18882.0,15751807.0,833.0,8.0,4887.0,0.0
28670.0,24007466.0,1243.0,11.0,8739.0,1.0
14081.0,11896437.0,623.0,7.0,3170.0,0.0
27902.0,23302885.0,1208.0,11.0,8346.0,1.0
14894.0,12540050.0,674.0,7.0,3644.0,0.0
19073.0,15885087.0,841.0,8.0,4948.0,1.0
14082.0,11897298.0,623.0,7.0,3170.0,0.0
17106.0,14322258.0,726.0,7.0,4172.0,1.0
