dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
27158,2,53948,7190321,743,974000000,744000000000.0,3,4372,6171,7584458,326,1,TCP,2,7374,1425,0,0.0,0.0,0
17400,1,63682,5457991,527,821000000,527000000000.0,4,7383,9241,8139993,284,1,TCP,3,541,1243,0,0.0,0.0,0
27363,5,106950,11677590,853,867000000,854000000000.0,3,1781,5082,7155054,268,0,UDP,4,6177,1247,0,0.0,0.0,1
19119,2,2275,264852,521,722000000,521000000000.0,2,4102,4102,264852,0,1,TCP,1,967,1247,0,0.0,0.0,1
14683,3,93574,10126021,735,700000000,736000000000.0,6,6233,7259,8521680,252,1,TCP,1,1242,1247,0,0.0,0.0,1
28928,1,99160,10695912,737,571000000,738000000000.0,5,9129,7646,8562534,256,1,TCP,2,1243,1247,0,0.0,0.0,1
7198,4,91210,9770019,919,848000000,920000000000.0,3,5453,7884,8222559,278,0,UDP,4,1241,1247,0,0.0,0.0,0
13443,5,102029,11381927,865,843000000,866000000000.0,7,7001,6478,7881117,269,1,TCP,1,1246,1247,0,0.0,0.0,1
9084,2,976,113690,521,924000000,521000000000.0,2,7173,7173,113690,0,1,TCP,2,1245,1247,0,0.0,0.0,0
15356,3,53919,6799284,739,874000000,740000000000.0,4,6178,7166,8370030,265,1,TCP,3,1242,1247,0,0.0,0.0,0
22158,4,102662,11590036,871,845000000,872000000000.0,5,9013,7170,8670072,263,1,TCP,4,1241,1247,0,0.0,0.0,1
16226,1,99077,10777907,739,845000000,740000000000.0,6,8179,6774,8359904,257,1,TCP,1,1247,1247,0,0.0,0.0,0
18072,2,91414,9938127,919,867000000,920000000000.0,3,7627,7888,8375143,275,0,UDP,4,1241,1247,0,0.0,0.0,1
27095,3,103548,11763763,867,874000000,868000000000.0,7,7461,6395,7801117,267,1,TCP,1,1245,1247,0,0.0,0.0,0
3790,4,93574,10306021,735,821000000,736000000000.0,6,6233,7259,8521680,252,1,TCP,2,1242,1247,0,0.0,0.0,1
10299,5,102029,11381927,865,843000000,866000000000.0,7,7001,6478,7881117,269,1,TCP,3,1246,1247,0,0.0,0.0,0
18313,1,976,113690,521,924000000,521000000000.0,2,7173,7173,113690,0,1,TCP,4,1245,1247,0,0.0,0.0,1
19079,2,2275,264852,521,722000000,521000000000.0,2,4102,4102,264852,0,1,TCP,1,967,1247,0,0.0,0.0,0
24248,3,93574,10126021,735,700000000,736000000000.0,6,6233,7259,8521680,252,1,TCP,2,1242,1247,0,0.0,0.0,0
17082,4,91210,9770019,919,848000000,920000000000.0,3,5453,7884,8222559,278,0,UDP,1,1241,1247,0,0.0,0.0,1
28127,5,106950,11677590,853,867000000,854000000000.0,3,1781,5082,7155054,268,0,UDP,2,6177,1247,0,0.0,0.0,0
3912,1,63682,5457991,527,821000000,527000000000.0,4,7383,9241,8139993,284,1,TCP,3,541,1243,0,0.0,0.0,1
26252,2,53948,7190321,743,974000000,744000000000.0,3,4372,6171,7584458,326,1,TCP,4,7374,1425,0,0.0,0.0,1
9652,3,93574,10126021,735,700000000,736000000000.0,6,6233,7259,8521680,252,1,TCP,1,1242,1247,0,0.0,0.0,1
12161,4,91210,9770019,919,848000000,920000000000.0,3,5453,7884,8222559,278,0,UDP,2,1241,1247,0,0.0,0.0,0
23991,5,102029,11381927,865,843000000,866000000000.0,7,7001,6478,7881117,269,1,TCP,3,1246,1247,0,0.0,0.0,1
17087,1,99077,10777907,739,845000000,740000000000.0,6,8179,6774,8359904,257,1,TCP,4,1247,1247,0,0.0,0.0,1
20263,2,2275,264852,521,722000000,521000000000.0,2,4102,4102,264852,0,1,TCP,1,967,1247,0,0.0,0.0,0
14051,3,93574,10126021,735,700000000,736000000000.0,6,6233,7259,8521680,252,1,TCP,2,1242,1247,0,0.0,0.0,0
27092,4,91210,9770019,919,848000000,920000000000.0,3,5453,7884,8222559,278,0,UDP,3,1241,1247,0,0.0,0.0,1
3919,5,102029,11381927,
