pktcount,bytecount,dur,flows,tot_kbps,label
71737,21891375,1450,15,2090,0
36077,11684418,1065,8,1245,1
81861,73938202,1790,10,9082,0
102025,44589048,1804,12,1022,1
52745,81855976,1401,9,8147,0
22897,12409614,902,6,5342,1
95654,34856902,1767,13,4458,0
71113,92737456,1311,9,2083,1
82944,64871901,1655,11,6228,0
26006,147128002,1881,17,20580,1
91451,56714105,1543,11,9072,0
63890,98352704,1490,11,7102,1
71737,21891375,1450,15,2090,0
36077,11684418,1065,8,1245,1
81861,73938202,1790,10,9082,0
102025,44589048,1804,12,1022,1
52745,81855976,1401,9,8147,0
22897,12409614,902,6,5342,1
95654,34856902,1767,13,4458,0
71113,92737456,1311,9,2083,1
82944,64871901,1655,11,6228,0
26006,147128002,1881,17,20580,1
91451,56714105,1543,11,9072,0
63890,98352704,1490,11,7102,1
81796,78801403,1451,10,7298,0
91247,72630201,1403,11,8162,1
91586,84589103,1563,12,9062,0
81449,41456810,1655,10,5102,1
71737,21891375,1450,15,2090,0
36077,11684418,1065,8,1245,1
81861,73938202,1790,10,9082,0
102025,44589048,1804,12,1022,1
52745,81855976,1401,9,8147,0
22897,12409614,902,6,5342,1
95654,34856902,1767,13,4458,0
71113,92737456,1311,9,2083,1
82944,64871901,1655,11,6228,0
26006,147128002,1881,17,20580,1
91451,56714105,1543,11,9072,0
63890,98352704,1490,11,7102,1
81796,78801403,1451,10,7298,0
91247,72630201,1403,11,8162,1
91586,84589103,1563,12,9062,0
81449,41456810,1655,10,5102,1
71737,21891375,1450,15,2090,0
36077,11684418,1065,8,1245,1
81861,73938202,1790,10,9082,0
102025,44589048,1804,12,1022,1
52745,81855976,1401,9,8147,0
22897,12409614,902,6,5342,1
95654,34856902,1767,13,4458,0
71113,92737456,1311,9,2083,1
82944,64871901,1655,11,6228,0
26006,147128002,1881,17,20580,1
91451,56714105,1543,11,9072,0
63890,98352704,1490,11,7102,1
81796,78801403,1451,10,7298,0
91247,72630201,1403,11,8162,1
91586,84589103,1563,12,9062,0
81449,41456810,1655,10,5102,1
71737,21891375,1450,15,2090,0
36077,11684418,1065,8,1245,1
81861,73938202,1790,10,9082,0
102025,44589048,1804,12,1022,1
52745,81855976,1401,9,8147,0
22897,12409614,902,6,5342,1
95654,34856902,1767,13,4458,0
71113,92737456,1311,9,2083,1
82944,64871901,1655,11,6228,0
26006,147128002,1881,17,20580,1
91451,56714105,1543,11,9072,0
63890,98352704,1490,11,7102,1
81796,78801403,1451,10,7298,0
91247,72630201,1403,11,8162,1
91586,84589103,1563,12,9062,0
81449,41456810,1655,10,5102,1
71737,21891375,1450,15,2090,0
36077,11684418,1065,8,1245,1
81861,73938202,1790,10,9082,0
102025,44589048,1804,12,1022,1
52745,81855976,1401,9,8147,0
22897,12409614,902,6,5342,1
95654,34856902,1767,13,4458,0
71113,92737456,1311,9,2083,1
82944,64871901,1655,11,6228,0
26006,147128002,1881,17,20580,1
91451,56714105,1543,11,9072,0
63890,98352704,1490,11,7102,1
81796,78801403,1451,10,7298,0
91247,72630201,1403,11,8162,1
91586,84589103,1563,12,9062,0
81449,41456810,1655,10,5102,1
