pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
857,83986,878,7,ICMP,4.0,0
17077,2077356,841,5,TCP,738.0,0
43744,8786734,1140,14,UDP,936.0,0
73590,11854490,515,7,TCP,4044.0,0
45781,9241202,1881,3,ICMP,2048.0,0
71691,5396850,184,13,TCP,2582.0,1
260006,147128002,717,17,UDP,20580.0,1
83918,10400766,836,6,ICMP,0.0,1
94796,76203544,976,9,UDP,4228.0,1
52860,38186596,127,2,TCP,0.0,1
86310,19622400,788,3,UDP,1638.0,0
94202,15073984,1420,4,TCP,2048.0,0
139936,131536376,1520,7,UDP,3838.0,0
131809,14598058,1320,2,TCP,10136.0,1
160437,127207894,1240,15,ICMP,4.0,0
206314,14508630,1881,7,UDP,4098.0,0
63650,15595020,810,13,TCP,936.0,0
187750,10846650,1320,14,ICMP,4044.0,0
125800,18205500,231,2,TCP,2048.0,1
153594,14642686,1420,15,UDP,2582.0,0
203390,14352410,440,17,ICMP,20580.0,1
215375,5950875,323,3,TCP,0.0,1
175909,14515090,950,2,UDP,4228.0,1
121282,14334818,270,4,ICMP,1638.0,0
171613,16604986,321,6,TCP,2048.0,0
143037,14750070,412,7,UDP,3838.0,1
242741,17457741,127,9,ICMP,10136.0,0
143912,13486048,184,14,TCP,4.0,1
181163,13271063,717,15,UDP,4098.0,0
161479,15333791,841,13,ICMP,936.0,1
232089,18094589,1140,2,TCP,4044.0,0
99897,14561947,515,4,UDP,2048.0,1
76420,8756720,231,7,TCP,2582.0,0
187750,10846650,1320,14,ICMP,20580.0,1
252568,14141312,836,6,UDP,0.0,1
147814,14081814,976,9,TCP,4228.0,1
138899,11371999,1420,15,ICMP,1638.0,0
233076,14822076,1240,17,TCP,2048.0,1
181377,16473777,1881,7,UDP,3838.0,0
213214,13942214,270,2,ICMP,10136.0,1
202350,18459350,323,4,TCP,4.0,0
190866,14784866,950,6,UDP,4098.0,1
170983,13372983,841,13,ICMP,936.0,1
210399,12208399,1140,14,TCP,4044.0,0
256905,13138905,515,2,UDP,2048.0,1
164547,14094547,184,7,TCP,2582.0,0
218922,14454922,836,4,ICMP,20580.0,1
239919,13379919,976,6,UDP,0.0,1
146730,13177730,1420,9,TCP,4228.0,1
194336,14505636,1240,15,ICMP,1638.0,0
246363,17482363,1881,17,TCP,2048.0,1
182291,14442291,270,2,UDP,3838.0,1
155519,12092519,323,4,ICMP,10136.0,0
209326,14109326,950,6,TCP,4.0,1
179847,15491847,841,13,UDP,4098.0,1
244854,14019854,1140,14,ICMP,936.0,1
172764,11880364,515,2,TCP,4044.0,0
144680,13902680,184,7,UDP,2048.0,1
218439,14053239,836,4,TCP,2582.0,0
227956,18464556,976,6,ICMP,20580.0,1
183767,14041767,1420,9,UDP,0.0,1
156446,14453646,1240,15,TCP,4228.0,1
245383,17592383,1881,17,ICMP,1638.0,0
191282,14782282,270,2,UDP,2048.0,1
170899,13364599,323,4,TCP,2582.0,0
209806,14087806,950,6,ICMP,10136.0,1
179847,15491847,841,13,UDP,4.0,0
244854,14019854,1140,14,ICMP,4098.0,1
172764,11880364,515,2,TCP,936.0,1
144680,13902680,184,7,UDP,4044.0,1
218439,14053239,836,4,TCP,2048.0,1
227956,18464556,976,6,ICMP,2582.0,0
183767,14041767,1420,9,UDP,20580.0,1
156446,14453646,1240,15,TCP,0.0,1
245383,17592383,1881,17,ICMP,4228.0,1
191282,14782282,270,2,UDP,1638.0,0
170899,13364599,323,4,TCP,2048.0,1
209806,14087806,950,6,ICMP,3838.0,1
179847,15491847,841,13,UDP,10136.0,0
244854,14019854,1140,14,TCP,4.0,1
172764,11880364,515,2,UDP,4098.0,1
144680,13902680,184,7,TCP,936.0,1
218439,14053239,836,4,ICMP,4044.0,0
227956,18464556,976,6,UDP,2048.0,1
183767,14041767,1420,9,TCP,2582.0,1
156446,14453646,1240,15,ICMP,20580.0,0
245383,17592383,1881,17,UDP,0.0,1
191282,14782282,270,2,TCP,4228.0,1
170899,13364599,323,4,UDP,1638.0,0
209806,14087806,950,6,ICMP,2048.0,1
179847,15491847,841,13,TCP,3838.0,0
244854,14019854,1140,14,UDP,10136.0,1
