pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
67967,917,89866,939,7,ICMP,2.0,0
44631,42432,2291328,135,7,TCP,0.0,0
43673,57767,63395158,130,11,TCP,0.0,0
102459,352,34496,361,5,ICMP,2.0,0
103296,694,68012,711,5,ICMP,2.0,0
4090,44980,46869160,143,4,UDP,0.0,1
36469,190018,10260972,324,5,TCP,110.0,1
54209,35625,37121250,101,5,ICMP,5734.0,1
14985,44971,46859782,143,5,UDP,0.0,1
71300,125746,6790284,430,5,TCP,0.0,1
71513,788,84750,813,7,ICMP,3.0,0
84817,717,71741,742,3,TCP,0.0,0
63310,95858,1099498,414,7,TCP,0.0,0
99941,931,89093,958,4,ICMP,1.0,0
82914,2518,241890,269,5,ICMP,2.0,0
71947,98176,11771944,308,4,UDP,0.0,1
56971,564,56475,589,2,TCP,0.0,1
72289,95213,10890837,387,6,ICMP,7.0,1
19452,83476,9450016,329,5,UDP,0.0,1
92999,876,86278,902,6,TCP,0.0,1
