, for the above columns

pktcount,bytecount,dur,flows,tot_kbps,label
7709.0,20458399.0,386.0,4.0,3745.0,0
15127.0,27390083.0,924.0,13.0,16871.0,1
20661.0,8671917.0,743.0,7.0,2182.0,0
938.0,4800193.0,14.0,2.0,0.0,0
260006.0,147128002.0,1881.0,17.0,20580.0,1
30000.0,39147500.0,1424.0,7.0,9010.0,1
49946.0,79294516.0,1452.0,6.0,19077.0,1
738.0,6192549.0,73.0,2.0,0.0,0
72310.0,113912128.0,1465.0,12.0,17095.0,1
639.0,7227319.0,62.0,4.0,0.0,0
1245.0,3889722.0,87.0,3.0,0.0,0
9990.0,73250167.0,1241.0,11.0,10111.0,1
25919.0,72856447.0,874.0,7.0,5910.0,0
19097.0,111768357.0,1699.0,14.0,14190.0,1
94796.0,76203544.0,412.0,7.0,3838.0,0
9050.0,52720250.0,1162.0,7.0,4477.0,0
41004.0,124878714.0,1553.0,12.0,16073.0,1
0.0,0.0,0.0,2.0,0.0,0
722.0,8784524.0,36.0,3.0,0.0,0
42828.0,6471930.0,251.0,5.0,4.0,0
1732.0,7172620.0,152.0,4.0,0.0,0
13395.0,20906083.0,1090.0,12.0,7406.0,1
764.0,6381866.0,41.0,3.0,0.0,0
26139.0,11596973.0,919.0,7.0,3081.0,0
808.0,79576.0,127.0,3.0,0.0,0
9076.0,56738206.0,1021.0,9.0,5372.0,0
15605.0,81817553.0,1319.0,10.0,6274.0,1
365.0,5948897.0,19.0,3.0,0.0,0
30644.0,111677369.0,1164.0,10.0,8223.0,1
1045.0,4486328.0,76.0,3.0,0.0,0
52860.0,38186596.0,321.0,5.0,2007.0,0
1856.0,8652541.0,133.0,4.0,0.0,0
827.0,6193784.0,48.0,3.0,0.0,0
19.0,353567.0,1.0,2.0,0.0,0
1949.0,9368650.0,145.0,4.0,0.0,0
24504.0,11862433.0,822.0,7.0,3817.0,1
1637.0,8381639.0,118.0,4.0,0.0,0
16244.0,68775027.0,1218.0,10.0,5891.0,1
637.0,5988274.0,40.0,3.0,0.0,0
7162.0,48170711.0,1083.0,9.0,4522.0,0
17084.0,11791807.0,1401.0,13.0,9457.0,1
5466.0,42597962.0,852.0,8.0,3793.0,0
1416.0,7009072.0,102.0,4.0,0.0,0
1944.0,7178082.0,143.0,4.0,0.0,0
1368.0,8432764.0,98.0,4.0,0.0,0
8678.0,36449792.0,724.0,7.0,3198.0,0
9078.0,56418091.0,1019.0,8.0,5354.0,1
