dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
4288,2,68,6573,71,362000000,71000000000.0,7,2022,19,1745,0,1,ICMP,3,1923,1407,0,0.0,0.0,0
42935,10,260006,147128002,1881,999000000,1880000000000.0,17,25224,19190,14953872,639,1,TCP,1,1269981973,990596183,20580,16577,20580.0,1
2488,1,0,0,0,0,0.0,2,4,-130933,-146442594,-4365,0,1,UDP,2,856,2527,0,0.0,0.0,0
7128,3,801,79282,128,233000000,128000000000.0,3,1943,29,2842,0,1,ICMP,4,3539,4799,0,0.0,0.0,0
11965,4,42557,6409692,252,418000000,252000000000.0,5,3024,8304,544736,276,1,TCP,1,14011344,4552643,0,0.0,4.0,1
29982,5,94683,75972220,413,704000000,413000000000.0,7,7385,10004,9727070,333,1,UDP,5,143928631,135650931,557,255.0,3838.0,0
17999,4,52782,38017286,322,461373404,322515117113.9938,5,5196,6365,4689472,211,0,TCP,4,93707039,93734918,1003,1003.8,2007.6,1
17999,4,52782,38017286,322,461373404,322515117113.9938,5,5196,6365,4689472,211,0,UDP,2,93707039,93734918,1003,1003.8,2007.6,1
17999,4,52782,38017286,322,461373404,322515117113.9938,5,5196,6365,4689472,211,0,ICMP,3,93707039,93734918,1003,1003.8,2007.6,1
17999,4,52782,38017286,322,461373404,322515117113.9938,5,5196,6365,4689472,211,0,TCP,5,93707039,93734918,1003,1003.8,2007.6,0
17999,4,52782,38017286,322,461373404,322515117113.9938,5,5196,6365,4689472,211,0,UDP,1,93707039,93734918,1003,1003.8,2007.6,0
17999,4,52782,38017286,322,461373404,322515117113.9938,5,5196,6365,4689472,211,0,ICMP,4,93707039,93734918,1003,1003.8,2007.6,0
17999,4,52782,38017286,322,461373404,322515117113.9938,5,5196,6365,4689472,211,0,TCP,2,93707039,93734918,1003,1003.8,2007.6,1
17999,4,52782,38017286,322,461373404,322515117113.9938,5,5196,6365,4689472,211,0,UDP,3,93707039,93734918,1003,1003.8,2007.6,0
17999,4,52782,38017286,322,461373404,322515117113.9938,5,5196,6365,4689472,211,0,ICMP,1,93707039,93734918,1003,1003.8,2007.6,1
4288,2,68,6573,71,362000000,71000000000.0,7,2022,19,1745,0,1,TCP,2,1923,1407,0,0.0,0.0,0
