dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
3986,2,2560,144090,45,988000000,45000000000.0,7,2437,125,1820,0,1,ICMP,2,123674,121884,0,0.0,0.0,0
14093,3,2231,202518,37,788000000,37000000000.0,5,3235,30,2940,0,1,ICMP,2,123676,121884,0,0.0,0.0,0
2362,5,1599,159900,17,959000000,17000000000.0,7,2545,28,2744,0,1,ICMP,2,123678,121884,0,0.0,0.0,0
22231,9,1137,97968,22,874000000,22000000000.0,5,3142,30,2940,0,1,ICMP,2,123680,121884,0,0.0,0.0,0
37891,6,3287,257544,51,913000000,51000000000.0,7,2476,125,1820,0,1,ICMP,2,123682,121884,0,0.0,0.0,0
12091,2,1825,173500,20,955000000,20000000000.0,7,2593,28,2744,0,1,ICMP,2,123684,121884,0,0.0,0.0,0
29091,3,1501,141090,15,964000000,15000000000.0,7,2641,28,2744,0,1,ICMP,2,123686,121884,0,0.0,0.0,0
17091,4,1337,123700,13,967000000,13000000000.0,7,2689,28,2744,0,1,ICMP,2,123688,121884,0,0.0,0.0,0
38091,7,3053,244260,47,917000000,47000000000.0,7,2517,125,1820,0,1,ICMP,2,123690,121884,0,0.0,0.0,0
18091,1,1713,161300,18,956000000,18000000000.0,7,2541,28,2744,0,1,ICMP,2,123692,121884,0,0.0,0.0,0
19091,8,2939,235130,43,919000000,43000000000.0,7,2497,125,1820,0,1,ICMP,2,123694,121884,0,0.0,0.0,0
20091,5,1687,158700,19,957000000,19000000000.0,7,2585,28,2744,0,1,ICMP,2,123696,121884,0,0.0,0.0,0
21091,6,3121,249680,49,915000000,49000000000.0,7,2507,125,1820,0,1,ICMP,2,123698,121884,0,0.0,0.0,0
22091,4,1473,137300,14,966000000,14000000000.0,7,2677,28,2744,0,1,ICMP,2,123700,121884,0,0.0,0.0,0
23091,3,1579,147900,16,963000000,16000000000.0,7,2629,28,2744,0,1,ICMP,2,123702,121884,0,0.0,0.0,0
24091,2,1795,169500,19,955000000,19000000000.0,7,2581,28,2744,0,1,ICMP,2,123704,121884,0,0.0,0.0,1
25091,1,1873,177300,20,954000000,20000000000.0,7,2537,28,2744,0,1,ICMP,2,123706,121884,0,0.0,0.0,1
26091,7,3077,246260,48,916000000,48000000000.0,7,2513,125,1820,0,1,ICMP,2,123
