dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
25230,6,872,85456,893,384000000,893000000000.0,10,3860,29,2842,0,1,ICMP,3,141610866,135572448,1705,2.0,1707.0,0
29922,3,996,97608,1020,207000000,1020000000000.0,10,2053,30,2940,1,1,ICMP,2,33829,44786968,0,2564.0,2564.0,0
11605,1,126395,134737070,280,734000000,281000000000.0,2,1943,13531,14424046,451,0,UDP,2,3865,1562,0,0.0,0.0,0
30921,4,755,73990,773,230000000,773000000000.0,9,4942,29,2842,0,1,ICMP,3,406634401,133989059,2,2.0,4.0,0
31161,7,893,87514,913,137000000,913000000000.0,11,4942,29,2842,0,1,ICMP,2,101105,96442,0,0.0,0.0,0
27167,4,127624,132984208,431,17000000,431000000000.0,9,948,8942,9317564,298,1,ICMP,2,238145578,105069702,4960,2476.0,7436.0,1
3369,7,52158,54348636,167,408000000,167000000000.0,3,7916,9225,9612450,307,0,UDP,1,4610,198357484,0,4126.0,4126.0,1
2949,7,128967,134383614,467,531000000,468000000000.0,2,4440,6027,6280134,200,0,UDP,3,3903,3483,0,0.0,0.0,1
6162,5,18278,19045676,60,13000000,60013000000.0,13,3421,9117,9499914,303,1,ICMP,5,169113490,30898,2529,0.0,2529.0,1
25511,10,79231,4278474,252,58000000,252000000000.0,5,16567,8706,470124,290,1,TCP,1,5592869,5203244,136,127.0,263.0,1
4520,3,1283,137786,717,819000000,717000000000.0,4,3164,3,2842,0,1,ICMP,2,5088,81799,0,0.0,0.0,1
2488,3,1445,154554,854,945000000,854000000000.0,7,4239,3,2842,0,1,ICMP,3,141610866,135572448,1705,2.0,1707.0,0
42935,7,1337,140762,945,749000000,945000000000.0,12,6232,3,2842,0,1,ICMP,2,33829,44786968,0,2564.0,2564.0,1
7128,4,1076,116664,1020,213000000,1020000000000.0,11,4239,3,2842,0,1,ICMP,3,406634401,133989059,2,2.0,4.0,1
11995,5,2062,218318,1161,521000000,1161000000000.0,14,3860,3,2842,0,1,ICMP,2,101105,96442,0,0.0,0.0,0
30042,10,1755,184550,1242,937000000,1241000000000.0,13,4239,3,2842,0,1,ICMP,3,141610866,135572448,1705,2.0,1707.0,1
13200,6,2083,221437,1323,638000000,1323000000000.0,15,4440,3,2842,0,1,ICMP,2,33829,44786968,0,2564.0,2564.0,0
18070,
