dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
6372,5,10.0.0.12,10.0.0.9,460,45080,471,705000000,472000000000.0,11,3421,29,2842,0,0,ICMP,5,234885949,52115,2449,0.0,2449.0,0
29292,3,10.0.0.3,10.0.0.7,380,37240,390,150000000,390000000000.0,6,1057,29,2842,0,1,ICMP,3,174564427,74272927,4940,2473.0,7413.0,1
30282,1,10.0.0.7,10.0.0.2,536,52528,549,915000000,550000000000.0,5,2053,29,2842,0,1,ICMP,2,135506785,56374,0,0.0,0.0,1
3129,4,10.0.0.9,10.0.0.5,11878,12661948,24,504000000,24504000000.0,3,6846,0,0,0,0,UDP,3,422454306,5438,0,0.0,0.0,0
27077,2,10.0.0.7,10.0.0.1,74045,76886794,291,150000000,291000000000.0,6,948,9160,9516400,305,1,ICMP,3,181994969,33551,5064,0.0,5064.0,0
28128,1,10.0.0.7,10.0.0.1,131498,135606804,1341,368000000,1340000000000.0,5,2790,29,2842,0,1,ICMP,1,135615651,151446,0,0.0,0.0,0
10356,4,10.0.0.10,10.0.0.7,129990,135449580,473,376000000,473000000000.0,2,1931,3792,3951264,126,0,UDP,2,3826,1312,0,0.0,0.0,1
29292,5,10.0.0.7,10.0.0.12,429,42042,440,172000000,440000000000.0,4,1057,29,2842,0,1,ICMP,3,47803,100352681,0,2467.0,2467.0,1
6432,6,10.0.0.12,10.0.0.9,519,50862,531,721000000,532000000000.0,4,3421,29,2842,0,0,ICMP,2,58009,253703069,0,2517.0,2517.0,1
30102,2,10.0.0.1,10.0.0.7,131263,135583774,1100,169000000,1100000000000.0,5,2053,29,2842,0,1,ICMP,4,135729563,271176269,1,1.0,2.0,0
3494,3,10.0.0.12,10.0.0.2,2449,248890,25,92000000,25000000000.0,3,4357,0,0,0,1,UDP,4,4525,1315,0,0.0,0.0,0
42005,7,10.0.0.4,10.0.0.5,260006,147128002,1881,999000000,1880000000000.0,12,8803,18898,14953872,629,1,TCP,5,1269981973,990596183,20580,16577,20580,1
2488,1,10.0.0.6,10.0.0.7,0,0,0,0,0.0,2,4,0,0,0,0,ICMP,4,2668,856,0,0.0,0.0,1
11515,4,10.0.0.2,10.0.0.4,34597,14782222,257,428000000,257000000000.0,5,2385,8012,663228,267,1,TCP,2,105767,6030042,0,0.0,2.0,0
29832
