dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
31161,3,10.0.0.3,10.0.0.10,893,87514,913,170000000,913000000000.0,9,4942,29,2842,0,1,ICMP,1,105515,135560782,0,0.0,0.0,0
33963,6,10.0.0.5,10.0.0.9,818,80164,838,396000000,838000000000.0,5,3034,29,2842,0,1,ICMP,3,135082507,271113893,0,0.0,0.0,0
28488,4,10.0.0.4,10.0.0.7,244,23912,250,918000000,251000000000.0,9,2800,29,2842,0,1,ICMP,1,542574465,540904736,3,3.0,6.0,0
40983,1,10.0.0.1,10.0.0.3,35809,40729602,83,256000000,83256000000.0,3,23,13312,14752768,443,1,TCP,3,40753153,1562577,3921,167.0,4088.0,0
11379,2,10.0.0.5,10.0.0.2,48866,3225312,154,351000000,154000000000.0,4,6696,9974,658284,332,1,TCP,3,98976710,178347683,4059,175.0,4234.0,0
41163,5,10.0.0.15,10.0.0.3,16605,896670,51,263000000,51263000000.0,7,8050,8748,472392,291,1,TCP,3,109055457,7477545,4298,437.0,4735.0,1
30913,4,10.0.0.9,10.0.0.4,59418,3208572,190,281000000,190000000000.0,7,3982,9264,500256,308,1,TCP,2,5143,1242,0,0.0,0.0,1
2668,6,10.0.0.10,10.0.0.3,24564,25595688,77,276000000,77276000000.0,3,2385,9322,9713524,310,0,UDP,1,3836,117948298,0,6209.0,6209.0,1
24930,3,10.0.0.4,10.0.0.8,109664,114269888,391,340000000,391000000000.0,5,2997,8772,9140424,292,1,ICMP,3,112945712,114671180,2432,2432.0,4864.0,1
10116,4,10.0.0.18,10.0.0.7,104299,108679558,333,436000000,333000000000.0,4,1931,9335,9727070,311,0,UDP,3,3413,3539,0,0.0,0.0,1
14306,2,10.0.0.2,10.0.0.15,3666,351168,43,92000000,43000000000.0,7,4357,27,2842,0,1,ICMP,3,204568,97639,0,0.0,0.0,0
34678,7,10.0.0.9,10.0.0.10,2092,204416,40,646000000,40646000000.0,5,3034,27,2842,0,1,ICMP,2,3139,8984,0,0.0,0.0,0
38008,3,10.0.0.17,10.0.0.7,1407,133792,33,92000000,32920000000.0,3,23,27,2842,0,1,ICMP,3,6209,6209,0,0.0,0.0,1
48175,1,10.0.0.3,10.0.0.13,8073,788752,99,517000000,99000000000.0,4,6696,27,2842,0,1,ICMP,1,3539,3413,0
