dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
3259,3,10.0.0.2,10.0.0.5,1785,1890343,297,920000000,297000000000.0,6,7386,0,0,0,1,TCP,3,1899,6339978,0,0.0,0.0,1
3787,1,10.0.0.3,10.0.0.4,2342,2424400,284,700000000,284000000000.0,4,5146,0,0,0,1,ICMP,2,3176,9745,0,0.0,0.0,1
11296,4,10.0.0.1,10.0.0.9,737,769274,214,720000000,214000000000.0,2,2183,3304,3550368,330,1,UDP,2,3258,837,0,0.0,0.0,1
42005,7,10.0.0.6,10.0.0.7,260006,147128002,1881,999000000,1880000000000.0,12,8803,18898,14953872,629,1,TCP,3,1269981973,990596183,20580,16577,20580.0,1
8923,3,10.0.0.4,10.0.0.11,914,973242,201,800000000,201000000000.0,3,3182,0,0,0,1,UDP,1,2443,879,0,0.0,0.0,1
2488,1,10.0.0.8,10.0.0.7,0,0,0,0,0.0,2,4,0,0,0,0,ICMP,2,856,2668,0,0.0,0.0,0
7147,3,10.0.0.6,10.0.0.2,75,79100,145,600000000,145000000000.0,2,1407,0,0,0,1,TCP,2,2545,1820,0,0.0,0.0,0
6871,4,10.0.0.10,10.0.0.5,542,561410,187,800000000,187000000000.0,2,2445,0,0,0,1,UDP,3,4103,3767,0,0.0,0.0,0
11515,4,10.0.0.9,10.0.0.15,34597,14782222,257,428000000,257000000000.0,5,2385,8012,663228,267,1,TCP,1,6030042,105767,0,0.0,2.0,0
29832,5,10.0.0.2,10.0.0.4,91478,85599258,435,728000000,436000000000.0,7,4357,10255,9853152,341,1,ICMP,3,135758389,135559596,386,148,3421.0,1
6492,3,10.0.0.7,10.0.0.11,704,69776,123,246000000,123000000000.0,3,1931,29,2842,0,0,UDP,3,3339,4266,0,0.0,0.0,0
17210,3,10.0.0.5,10.0.0.9,49365,43129572,332,472963002,333025145387.0,5,3251,6234,5495646,207,0,TCP,2,89594012,89575803,940,940,1881.0,1
3429,2,10.0.0.8,10.0.0.4,124526,132744716,276,434000000,276000000000.0,2,7916,13311,14189526,443,0,ICMP,2,279386936,5053,0,0.0,0.0,1
24780,1,10.0.0.1,10.0.0.9,334,32732,343,200000000,343000000000.0,4,2997,29,2842,0,1,TCP,2,69355014,5591,2369,0.0,2369.0,0
6282,4,10.0.0.5,10.0.0.6,
