pktcount, bytecount, dur, flows, Protocol, tot_kbps, label
9487, 2578356, 209, 7, ICMP, 0.3, 0
131121, 21155928, 480, 1, ICMP, 0.6, 0 
1987, 786994, 229, 2, UDP, 0.7, 1
186015, 29293145, 176, 8, UDP, 0.9, 1
127551, 56321622, 512, 5, ICMP, 0.2, 0
66253, 15604100, 535, 9, UDP, 0.4, 1
112954, 34377240, 15, 3, ICMP, 0.8, 0
71172, 23379158, 155, 6, ICMP, 0.1, 0
4870, 3769947, 21, 4, UDP, 0.5, 1
51307, 13167443, 139, 2, ICMP, 0.6, 0
53154, 54518882, 373, 5, ICMP, 0.0, 0
76958, 53510681, 66, 8, ICMP, 0.9, 0
48476, 64737579, 29, 1, UDP, 0.1, 1
155320, 73747092, 124, 9, ICMP, 0.7, 0
67383, 81975529, 332, 6, ICMP, 0.3, 0
136322, 25050272, 110, 4, ICMP, 0.4, 0
191917, 19440223, 24, 3, UDP, 0.8, 1
81820, 36321317, 338, 7, ICMP, 0.2, 0
115209, 50731525, 401, 3, ICMP, 0.5, 0
126186, 4592942, 327, 9, UDP, 0.9, 1
10602, 83059367, 151, 7, UDP, 0.0, 1
181439, 73927712, 432, 2, UDP, 0.1, 1
83547, 30822716, 436, 6, UDP, 0.4, 1
22782, 77317287, 369, 4, UDP, 0.5, 1
95034, 79132896, 37, 1, ICMP, 0.6, 0
163751, 56166323, 287, 8, UDP, 0.7, 1
48800, 89914397, 300, 5, ICMP, 0.8, 0
59668, 49141787, 503, 1, UDP, 0.2, 1
120997, 43691763, 496, 9, ICMP, 0.3, 0
161408, 4121189, 590, 3, UDP, 0.9, 1
31269, 18316641, 41, 2, ICMP, 0.0, 0
5748, 46850425, 492, 4, UDP, 0.1, 1
73299, 4033910, 89, 5, ICMP, 0.2, 0
147990, 18345930, 466, 8, UDP, 0.3, 1
123336, 53171174, 294, 7, ICMP, 0.4, 0
130899, 51693403, 175, 1, ICMP, 0.5, 0
151044, 71286079, 256, 9, UDP, 0.6, 1
177222, 35383988, 286, 3, UDP, 0.7, 1
63868, 99045001, 44, 6, ICMP, 0.8, 0
59298, 64930845, 469, 4, ICMP, 0.9, 0
157569, 86584118, 530, 1, UDP, 0.0, 1
199010, 47130210, 577, 9, ICMP, 0.1, 0
62455, 73825966, 97, 2, UDP, 0.2, 1
