pktcount, bytecount, dur, flows, Protocol, tot_kbps, label
63590, 66260780, 203, 4, UDP, 0.0, 1
370, 36260, 379, 13, ICMP, 10348.0, 0
32394, 46536907, 189, 19, UDP, 78.0, 1
43133, 83313122, 333, 24, ICMP, 976.0, 0
61761, 49591978, 50, 2, ICMP, 0.0, 1
88739, 36564725, 510, 11, UDP, 10.0, 0
81899, 73320228, 177, 18, ICMP, 79.0, 1
57886, 26295756, 243, 8, ICMP, 485.0, 0
5180, 2997201, 436, 7, UDP, 12983.0, 1
74043, 21556328, 73, 10, ICMP, 0.0, 0
94467, 72158932, 325, 2, ICMP, 45.0, 1
33669, 53462551, 473, 15, UDP, 18.0, 0
10963, 46818287, 3, 8, ICMP, 464.0, 0
5896, 59103545, 256, 25, UDP, 1690.0, 1
92247, 46790590, 55, 12, ICMP, 1232.0,0
69528, 96329616, 241, 4, ICMP, 0.0, 1
44412, 4654301, 470, 4, UDP, 419.0, 0
26476, 8303752, 171, 23, ICMP, 896.0, 1
68543, 22585016, 531, 21, UDP, 9866.0, 0
87093, 19776870, 193, 5, ICMP, 4.0, 1
20266, 41386167, 38, 12, UDP, 612.0, 0
56233, 72399019, 187, 5, ICMP, 958.0, 1
14789, 46319952, 79, 23, UDP, 5482.0, 0
32220, 49599782, 93, 7, ICMP, 0.0, 1
62980, 35342504, 74, 11, UDP, 512.0, 0
71544, 44719406, 337, 25, ICMP, 263.0, 1
4888, 75623090, 134, 17, UDP, 375.0, 0
60797, 20294195, 115, 2, ICMP, 65.0, 1
81505, 61229048, 334, 19, UDP, 841.0, 0
27210, 89504413, 221, 14, ICMP, 4387.0, 1
84350, 97976737, 356, 6, UDP, 115.0, 0
58815, 77216607, 276, 21, ICMP, 4861.0, 1
88294, 5757776, 87, 10, UDP, 773.0, 0
87011, 42945479, 265, 13, ICMP, 570.0, 1
70184, 1925641, 197, 23, UDP, 87.0, 0
4938, 5188422, 246, 6, ICMP, 109.0, 1
22520, 72100752, 408, 4, UDP, 719.0, 0
81672, 96395372, 101, 12, ICMP, 15.0, 1
94766, 9823853, 229, 25, UDP, 21.0, 0
84967, 53426226, 314, 5, ICMP, 90.0, 1
17102, 15488157, 464, 18, UDP, 167.0, 0
60510, 94026521, 375, 20, ICMP, 452.0, 1
83008, 1709073, 34, 9, UDP, 16.0, 0
54142, 64204537, 211, 19, ICMP, 479.0, 1
90568, 22392558, 327, 11, UDP, 8 0.0, 0
15336, 51450759, 362, 14, ICMP, 284.0, 1
77225, 60620299, 84, 15, UDP, 192.0, 0
45301, 56783760, 394, 25, ICMP, 1230.0, 1
95150, 32104214, 308, 6, UDP, 147.0, 0
81420, 88605749, 507, 21, ICMP, 753.0, 1
52450, 82275568, 165, 6, UDP, 490.0, 0
97108, 81113055, 142, 14, ICMP, 70.0, 1
23825, 57962902, 142, 9, UDP, 98.0, 0
15839, 43082210, 56, 23, ICMP, 1980.0, 1
45337, 93222207, 401, 11, UDP, 1840.0, 0
2230, 6572836, 192, 25, ICMP, 6865.0, 1
52372, 95460919, 469, 2, UDP, 1300.0, 0
56893, 59150367, 188, 5, ICMP, 866.0, 1
75460, 96514007, 287, 16, UDP, 11.0, 0
26342, 84606134, 501, 17, ICMP, 98.0, 1
32613, 19588273, 117, 12, UDP, 6730.0, 0
35652, 6120161, 439, 8, ICMP, 2136.0, 1
72386, 65104247, 138, 21, UDP, 63.0, 0
65914, 98270013, 172, 22, ICMP, 474.0, 1
76343, 54216662, 393, 16, UDP, 167.0, 0
25193, 2752449, 200, 24, ICMP, 17.0, 1
43728, 61151504, 457, 5, UDP, 786.0, 0
99469, 39756846, 230, 17, ICMP, 4626.0, 1
37271, 4755694, 466, 24, UDP, 719.0, 0
32395, 8531223, 3, 16, ICMP, 6530.0, 1
93775, 21904830, 250, 8, UDP, 233.0, 0
29862, 89884126, 133, 10, ICMP, 104.0, 1
14168, 46753102, 6, 11, UDP, 764.0, 0
50191, 2039967, 409, 7, ICMP, 800.0, 1
16947, 44522603, 437, 15, UDP, 7.0, 0
40853, 35080098, 144, 23, ICMP, 5.0, 1
47853, 41897933, 142, 6, UDP, 147.0, 0
35621, 46859884, 382, 9, ICMP, 1174.0, 1
81922, 48756872, 34, 17, UDP, 167.0, 0
14176, 62212735, 475, 22, ICMP, 54.0, 1
10241, 60883689, 474, 10, UDP, 0.0, 0
35323, 93137591, 184, 25, ICMP, 599.0, 1
7552, 76968021, 20, 8, UDP, 11.0, 0
31954, 11469993, 457, 16, ICMP, 7.0, 1
66185, 10253677, 473, 7, UDP, 11196.0, 0
14101, 56178295, 240, 2, ICMP, 462.0, 1
37301, 48265654, 22, 14, UDP, 559.0, 0
63842, 70397647, 181, 5, ICMP, 303.0, 1
68722, 2884270, 25, 16, UDP, 226.0, 0
18491, 95431445, 80, 9, ICMP, 119.0, 1
60979, 59072573, 118, 18, UDP, 1912.0, 0
45354, 52588896, 283, 25, ICMP, 4985.0, 1
6071, 86373656, 66, 14, UDP, 312.0, 0
31295, 59575431, 335, 8, ICMP, 476.0, 1
96887, 53681355, 76, 12, UDP, 1234.0, 0
74296, 47914041, 112, 10, ICMP, 1.0, 1
47590, 30072842, 236, 17, UDP, 714.0, 0
46899, 20376945, 473, 4, ICMP, 362.0, 1
50595, 77124894, 482, 23, UDP, 37.0, 0
37128, 68161056, 411, 11, ICMP, 0.0, 1
66290, 88479912, 349, 13, UDP, 1917.0, 0
53903, 66784314, 32, 25, ICMP, 5980.0, 1
