dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label,src,dst
2488,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-130933.0,-146442594.0,-4365.0,0,TCP,1.0,2527.0,856.0,0.0,0.0,0.0,,
2488,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-130933.0,-146442594.0,-4365.0,0,TCP,1.0,2527.0,856.0,0.0,0.0,0.0,,
7128,3,801.0,79282.0,128.0,233000000.0,128000000000.0,3.0,1943.0,29.0,2842.0,0.0,0.0,TCP,1,4799.0,3539.0,0.0,0.0,0.0,0.0,,
11965,4,42557.0,6409692.0,252.0,418000000.0,252000000000.0,5.0,3024.0,8304.0,544736.0,276.0,1.0,TCP,2,4552643.0,14011344.0,0.0,0.0,4.0,1.0,,
29982,5,94683.0,75972220.0,413.0,704000000.0,413000000000.0,7.0,7385.0,10004.0,9727070.0,333.0,1.0,UDP,3,135650931.0,143928631.0,255.0,557.0,3838.0,1.0,,
42935,10,260006.0,147128002.0,1881.0,999000000.0,1880000000000.0,17.0,25224.0,19190.0,14953872.0,639.0,1.0,ICMP,5,1269981973.0,990596183.0,20580.0,16577.0,20580.0,0.0,,
41254,2,59297.0,3439226.0,201.0,612000000.0,202000000000.0,9.0,8050.0,9116.0,528728.0,303.0,1.0,TCP,1,429434561.0,24001090.0,7927.0,611.0,8538.0,0.0,,
5297,5,260002.0,14040108.0,469.0,135000000.0,469000000000.0,5.0,2373.0,10646.0,574884.0,354.0,1.0,TCP,4,322219485.0,181435711.0,81.0,142.0,223.0,1.0,,
26807,7,167.0,16366.0,171.0,185000000.0,171000000000.0,4.0,948.0,30.0,2940.0,1.0,1.0,UDP,1,4352.0,1332.0,0.0,0.0,0.0,0.0,,
33303,3,222.0,21756.0,228.0,340000000.0,228000000000.0,13.0,3024.0,29.0,2842.0,0.0,1.0,ICMP,3,161339396.0,144415232.0,2718.0,2578.0,5296.0,1.0,,
26867,1,9517.0,9842138.0,81.0,124000000.0,81124000000.0,4.0,948.0,9230.0,9589340.0,307.0,1.0,UDP,2,38013512.0,1410.0,2554.0,0.0,2554.0,0.0,,
2829,5,98542.0,102680764.0,347.0,334000000.0,347000000000.0,2.0,4440.0,9168.0,9553056.0,305.0,0.0,ICMP,1,3943.0,1492.0,0.0,0.0,0.0,1.0,,
3489,7,87263.0,90928046.0,287.0,522000000.0,288000000000.0,2.0,7916.0,8223.0,8568366.0,274.0,0.0,UDP,1,5375.0,278546882.0,0.0,0.0,0.0,0.0,,
9786,6,972.0,1012824.0,3.0,452000000.0,3452000000.0,3.0,1109.0,0.0,0.0,0.0,0.0,ICMP,2,3273.0,1352.0,0.0,0.0,0.0,1.0,,
